institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.0091725759858652	0.9979065994684653	1.0035289942648553
1	0.9792060153283785	0.9631719598053463	0.979672378538448	0.9743591608847779
2	0.9715427349082951	0.943827678507465	0.9708014402337983	0.9624070538344129
3	0.965748248793871	0.93249137247927	0.9651651360152012	0.9549820802196174
4	0.9528242821350968	0.9075361794532152	0.952618199877884	0.9385030131243222
5	0.9462624857550629	0.8962976564566179	0.9453825341629394	0.9304638100623183
6	0.9392426888043054	0.8740595679699397	0.9406055497354029	0.918550517822977
7	0.9303990746594984	0.8449618630063095	0.933755827208836	0.9030164142724538
8	0.9185446917529206	0.8161442157436641	0.9263453109870303	0.8862220692563063
9	0.9066618481205112	0.786603504406341	0.9196222544526926	0.8690715731924253
10	0.8915832625096246	0.7470575573284665	0.9106132576842565	0.8461999106479777
11	0.8827163960903067	0.7221577216877426	0.904410738637274	0.8317365063565493
12	0.8594866852858739	0.6800885656474543	0.890157911283874	0.8038714158050866
13	0.8460679406937303	0.6579470853938552	0.8806749499821502	0.7882610964116331
14	0.8310992024662592	0.6300032122138901	0.8701555409142128	0.769453809271882
15	0.8177210796278499	0.5990470744367212	0.8614299707343329	0.7500701369984628
16	0.7754749842220688	0.5494655800921137	0.8323410941316969	0.7047766018659987
17	0.7061141472557345	0.4873610469297375	0.7832986421894241	0.6406615604565531
18	0.6199639029914913	0.40864874629992526	0.7009277612756026	0.557238155003191
19	0.5481417983556075	0.36208767606212733	0.6034057415421386	0.48880362960592805
20	0.4318785404738923	0.2851081775305243	0.441488859110349	0.37115172861889156
21	0.3324929564543915	0.21409892259819369	0.2738383816845994	0.2686795015053368
22	0.28443675529211426	0.17275208002735343	0.22379451700180414	0.2219891540817236
23	0.2334083504039174	0.14063433882085807	0.17267763560343646	0.1798861456241707
24	0.1591520842146349	0.1081848004743582	0.10650795847856473	0.12538298248605306
25	0.05634238459971187	0.08128775605550076	0.043961439612599976	0.06373730527088604
26	0.03155101176894244	0.03771319937621552	0.021880395424222168	0.031225940508013632
