institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.047	0.218	0.038	0.358
1	0.047	0.199	0.052	0.365
2	0.040	0.137	0.054	0.270
3	0.047	0.140	0.033	0.249
4	0.046	0.110	0.027	0.214
5	0.048	0.042	0.036	0.176
