institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.185	0.045	0.327
1	0.047	0.120	0.048	0.261
2	0.049	0.135	0.044	0.283
3	0.044	0.158	0.034	0.305
4	0.052	0.146	0.078	0.350
5	0.070	0.247	0.061	0.452
6	0.064	0.460	0.029	0.618
