institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658492	1.009172575985865	0.9979065994684654	1.0035289942648553
1	0.42943771055411967	0.25430521982931353	0.42261562745775344	0.35836672056776253
2	0.29950576270744406	0.1885730582731159	0.3134982465256165	0.2600070109756814
3	0.23962951321175807	0.16080661514150868	0.260716975486296	0.21423787584001236
4	0.16507094525892152	0.1339091813317234	0.18559085941476955	0.15893413099284354
5	0.11714046088973726	0.11170542584459327	0.13559168056234336	0.12151390551197615
6	0.08889729003745188	0.09672587100443424	0.10424703074207728	0.09843733007204851
7	0.0652177041855034	0.0804786166021614	0.07650780176514389	0.07664763997478682
8	0.039239769943830174	0.06229125861090326	0.05280485148800835	0.05406187734068542
9	0.01966126403864953	0.048553129223428644	0.03630205512829148	0.03691114151450357
10	0.010188715668921728	0.031207899682052186	0.019467757694624124	0.021477035104201073
11	0.005580788339024563	0.019108906620313285	0.009125031270338613	0.012320737545713627
12	0.0019208121627916437	0.00845280037829014	0.0023055851808954694	0.004995296783614354
13	0.0005008164008784779	0.0019985238219098304	0.0007021779632579298	0.00116226196880124
14	4.2882145845163746e-05	0.00011612072621630623	9.338367379340314e-05	7.99901477001443e-05
