institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.012	0.154	0.013	0.186
1	0.020	0.208	0.011	0.250
2	0.031	0.184	0.018	0.250
3	0.032	0.207	0.019	0.280
4	0.052	0.229	0.030	0.354
5	0.054	0.184	0.051	0.332
6	0.055	0.205	0.050	0.362
7	0.051	0.237	0.036	0.367
8	0.049	0.235	0.038	0.372
9	0.053	0.268	0.044	0.422
10	0.056	0.246	0.047	0.431
11	0.055	0.225	0.066	0.432
12	0.050	0.197	0.062	0.411
13	0.043	0.151	0.067	0.360
14	0.042	0.136	0.062	0.333
15	0.046	0.117	0.083	0.330
16	0.042	0.089	0.066	0.273
17	0.043	0.102	0.061	0.271
18	0.036	0.071	0.077	0.228
19	0.039	0.077	0.068	0.229
20	0.042	0.097	0.058	0.228
21	0.035	0.058	0.057	0.179
22	0.040	0.086	0.058	0.215
23	0.035	0.075	0.045	0.185
24	0.042	0.091	0.041	0.211
25	0.048	0.235	0.039	0.386
26	0.047	0.213	0.027	0.348
27	0.051	0.225	0.025	0.365
28	0.065	0.276	0.046	0.450
29	0.064	0.280	0.048	0.446
30	0.083	0.312	0.042	0.508
31	0.076	0.307	0.051	0.499
32	0.067	0.231	0.052	0.413
33	0.069	0.283	0.060	0.481
34	0.016	0.064	0.016	0.104
35	0.021	0.103	0.009	0.147
