institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.0091725759858654	0.9979065994684653	1.003528994264855
1	0.5710143284576346	0.38766587561040095	0.548674605486519	0.49636715497514255
2	0.3528551029349292	0.22930184042763088	0.34149198584845397	0.3065311604252585
3	0.2264802630163721	0.14633596860900872	0.23219549626246191	0.19914284310637342
4	0.1476897781825268	0.1058888886432195	0.1567224197606388	0.13596153505504602
5	0.08979739589511757	0.07849580364455298	0.10838226641574451	0.09196769752843602
6	0.05256956030598187	0.056947217596045166	0.07365082846513764	0.060824465677274515
7	0.030058207667761454	0.03567161474071537	0.04579612315285943	0.036361326241091424
8	0.018231714395177838	0.02097333036996472	0.026276020320124733	0.021613099557229155
9	0.008486016791020509	0.011597932969506043	0.012341682593487308	0.010982270385223564
10	0.0034129999036865387	0.0072905963141858985	0.005825674083748509	0.005869131140893595
11	0.0014606020624506014	0.004675300518496856	0.0036349376900812976	0.003412402269729897
12	0.0006225147447286206	0.001986825756279387	0.0016252121483792663	0.001464369814327141
13	3.197224834264877e-05	7.018806028305089e-05	4.2946177735440953e-05	5.661121040787718e-05
