institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.007	0.167	0.009	0.185
1	0.010	0.121	0.012	0.152
2	0.021	0.154	0.007	0.187
3	0.033	0.265	0.019	0.336
4	0.020	0.187	0.009	0.224
5	0.024	0.193	0.011	0.238
6	0.019	0.151	0.013	0.188
7	0.017	0.139	0.007	0.172
8	0.025	0.163	0.012	0.211
9	0.026	0.153	0.013	0.201
10	0.019	0.165	0.010	0.201
11	0.011	0.100	0.008	0.124
12	0.025	0.185	0.011	0.229
13	0.022	0.143	0.014	0.187
14	0.020	0.181	0.014	0.223
15	0.027	0.194	0.016	0.252
16	0.037	0.232	0.012	0.302
17	0.028	0.188	0.013	0.243
18	0.034	0.257	0.015	0.328
19	0.033	0.211	0.024	0.290
20	0.030	0.198	0.022	0.268
21	0.031	0.197	0.031	0.278
22	0.043	0.259	0.024	0.350
23	0.056	0.216	0.049	0.386
24	0.046	0.160	0.039	0.298
25	0.042	0.126	0.102	0.341
