institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658492	1.0091725759858652	0.9979065994684653	1.0035289942648555
1	0.3324102382134224	0.1636707451810585	0.29383366074510464	0.25845490614415434
2	0.21843326763085946	0.09889172715622019	0.16543275929151643	0.16115782049185023
3	0.12015117981267776	0.057234944802403036	0.10236036263411566	0.09321040699613484
4	0.08508786827678916	0.043216959295054515	0.08356542758780541	0.0700685305141238
5	0.050707260305949256	0.03409733714341599	0.05395922557086456	0.04673541274852634
6	0.017752377971155583	0.016261044799215956	0.02020758611436609	0.018762458041686948
7	0.004274532783143246	0.006355919529587426	0.006967311698600094	0.006004345378389028
8	0.0014932413687984698	0.0014907262001573104	0.0007533111581599594	0.0014200660664559007
9	1.0724278484140402e-06	6.2421585898259195e-06	3.522779834996265e-06	4.151622376218785e-06
