institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.019	0.185	0.014	0.228
1	0.027	0.179	0.016	0.234
2	0.034	0.183	0.025	0.259
3	0.037	0.199	0.026	0.286
4	0.043	0.241	0.029	0.348
5	0.052	0.264	0.031	0.389
6	0.053	0.258	0.028	0.381
7	0.060	0.244	0.039	0.397
8	0.060	0.279	0.036	0.423
9	0.064	0.196	0.058	0.363
10	0.060	0.202	0.055	0.376
11	0.057	0.252	0.038	0.410
12	0.059	0.215	0.059	0.410
13	0.048	0.145	0.042	0.280
14	0.049	0.156	0.052	0.300
15	0.051	0.130	0.064	0.292
16	0.052	0.149	0.068	0.327
17	0.057	0.162	0.056	0.336
18	0.050	0.117	0.061	0.281
19	0.047	0.100	0.056	0.246
20	0.045	0.103	0.056	0.243
21	0.053	0.108	0.070	0.289
22	0.051	0.152	0.072	0.353
23	0.048	0.129	0.078	0.326
24	0.050	0.161	0.070	0.404
25	0.050	0.156	0.067	0.359
26	0.054	0.177	0.060	0.377
27	0.039	0.104	0.076	0.313
28	0.036	0.132	0.063	0.349
29	0.033	0.099	0.056	0.239
30	0.033	0.075	0.043	0.190
31	0.034	0.074	0.051	0.221
32	0.037	0.083	0.052	0.231
33	0.032	0.062	0.060	0.192
34	0.038	0.081	0.065	0.241
35	0.041	0.089	0.071	0.255
36	0.044	0.083	0.052	0.222
37	0.047	0.176	0.060	0.344
38	0.038	0.121	0.071	0.276
39	0.036	0.122	0.056	0.296
40	0.038	0.103	0.057	0.255
41	0.050	0.192	0.058	0.368
42	0.049	0.211	0.056	0.380
43	0.051	0.199	0.034	0.352
44	0.053	0.236	0.037	0.381
45	0.060	0.316	0.028	0.473
46	0.072	0.395	0.028	0.557
47	0.067	0.334	0.033	0.519
48	0.077	0.339	0.036	0.515
49	0.090	0.386	0.039	0.588
50	0.098	0.394	0.040	0.624
51	0.103	0.419	0.055	0.696
