institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.051	0.109	0.047	0.060	0.029	0.160	0.139	0.102	0.303	1.000
1	0.050	0.129	0.051	0.072	0.019	0.164	0.130	0.096	0.288	1.000
2	0.053	0.119	0.046	0.057	0.024	0.150	0.131	0.102	0.319	1.000
3	0.041	0.086	0.032	0.050	0.022	0.149	0.137	0.115	0.369	1.000
4	0.038	0.076	0.038	0.045	0.027	0.147	0.138	0.115	0.375	1.000
5	0.039	0.079	0.032	0.051	0.022	0.156	0.145	0.120	0.355	1.000
6	0.039	0.085	0.037	0.055	0.024	0.147	0.133	0.106	0.374	1.000
7	0.037	0.099	0.032	0.059	0.021	0.146	0.133	0.108	0.364	1.000
8	0.031	0.076	0.031	0.045	0.022	0.143	0.145	0.118	0.388	1.000
9	0.037	0.079	0.031	0.054	0.021	0.149	0.137	0.119	0.374	1.000
10	0.042	0.086	0.032	0.058	0.021	0.158	0.149	0.125	0.330	1.000
11	0.057	0.101	0.038	0.072	0.025	0.166	0.144	0.104	0.291	1.000
12	0.052	0.112	0.045	0.071	0.023	0.160	0.128	0.097	0.312	1.000
13	0.049	0.132	0.053	0.077	0.027	0.179	0.136	0.093	0.253	1.000
14	0.053	0.136	0.051	0.075	0.026	0.172	0.147	0.099	0.242	1.000
15	0.048	0.117	0.045	0.070	0.022	0.159	0.139	0.110	0.290	1.000
16	0.059	0.157	0.063	0.075	0.030	0.188	0.129	0.097	0.201	1.000
17	0.062	0.144	0.065	0.080	0.029	0.186	0.136	0.095	0.205	1.000
18	0.074	0.175	0.077	0.091	0.036	0.198	0.124	0.079	0.145	1.000
19	0.086	0.187	0.075	0.082	0.032	0.176	0.121	0.079	0.162	1.000
20	0.087	0.192	0.070	0.092	0.039	0.208	0.117	0.073	0.123	1.000
21	0.102	0.211	0.075	0.095	0.035	0.182	0.108	0.068	0.122	1.000
22	0.090	0.212	0.064	0.090	0.034	0.181	0.112	0.071	0.144	1.000
23	0.095	0.199	0.068	0.074	0.033	0.160	0.100	0.067	0.203	1.000
24	0.087	0.173	0.052	0.070	0.031	0.140	0.090	0.073	0.284	1.000
25	0.089	0.172	0.053	0.071	0.027	0.141	0.091	0.075	0.283	1.000
26	0.083	0.159	0.049	0.068	0.023	0.116	0.101	0.073	0.330	1.000
27	0.090	0.196	0.056	0.073	0.026	0.143	0.097	0.070	0.250	1.000
28	0.109	0.260	0.062	0.086	0.020	0.164	0.075	0.046	0.178	1.000
29	0.095	0.373	0.079	0.109	0.030	0.141	0.087	0.057	0.029	1.000
