institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658497	1.0091725759858652	0.9979065994684656	1.0035289942648553
1	0.9745316004705633	0.9471225723810892	0.9764895936197565	0.9659720296452066
2	0.9322030438025384	0.8396433790254452	0.9479991181364967	0.9039212309311351
3	0.910640127478539	0.7801439870742897	0.935328380288749	0.8703734441303865
4	0.8976671933047726	0.7495426663659692	0.92542763732139	0.8518310007387635
5	0.8856629973437997	0.7257002243809281	0.9134132678933106	0.8356959935988162
6	0.8774600633118743	0.7047365431761442	0.9063337760041515	0.8224916092316668
7	0.8620304972007065	0.6710141313862305	0.8910597928821015	0.8002226120540803
8	0.8365416088817501	0.639784313594524	0.8660900507075652	0.7729246707395232
9	0.8171407652813862	0.6022951956282454	0.8459657945470563	0.7464230377300105
10	0.783059895494483	0.5495245882854605	0.8177396354447409	0.7068999870683468
11	0.7231023276810817	0.47307349044996355	0.7264317086101216	0.6251489284299578
12	0.6021274792044682	0.33166373655635834	0.5751545347863803	0.47969006125812214
13	0.20057855253196255	0.12512550997405425	0.13979744067346156	0.15408727267233266
14	0.012101586886132231	0.016729898240028785	0.004785248518688846	0.012417723847652194
