institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.012	0.171	0.011	0.200
1	0.014	0.146	0.013	0.180
2	0.025	0.242	0.015	0.297
3	0.027	0.166	0.014	0.218
4	0.023	0.174	0.021	0.233
5	0.035	0.231	0.021	0.317
6	0.039	0.244	0.024	0.336
7	0.037	0.182	0.033	0.269
8	0.027	0.160	0.021	0.219
9	0.026	0.153	0.022	0.214
10	0.026	0.187	0.019	0.244
11	0.036	0.188	0.022	0.264
12	0.036	0.167	0.031	0.254
13	0.046	0.225	0.026	0.326
14	0.043	0.228	0.031	0.333
15	0.048	0.246	0.035	0.363
16	0.050	0.226	0.032	0.351
17	0.055	0.252	0.042	0.395
18	0.053	0.304	0.033	0.438
19	0.056	0.212	0.042	0.360
20	0.060	0.220	0.050	0.384
21	0.058	0.247	0.038	0.405
22	0.062	0.219	0.052	0.392
23	0.057	0.228	0.040	0.380
24	0.056	0.224	0.050	0.384
25	0.058	0.290	0.040	0.454
26	0.061	0.226	0.053	0.398
27	0.057	0.258	0.044	0.419
28	0.057	0.248	0.047	0.416
29	0.060	0.257	0.047	0.432
30	0.060	0.250	0.046	0.415
31	0.060	0.245	0.047	0.420
32	0.058	0.244	0.044	0.403
33	0.054	0.232	0.049	0.402
34	0.052	0.205	0.053	0.365
35	0.052	0.212	0.058	0.378
36	0.052	0.177	0.070	0.359
37	0.048	0.176	0.076	0.359
38	0.048	0.192	0.063	0.367
39	0.049	0.202	0.055	0.374
40	0.049	0.172	0.062	0.346
41	0.053	0.178	0.056	0.349
42	0.050	0.152	0.050	0.300
43	0.046	0.170	0.054	0.337
44	0.057	0.201	0.054	0.378
45	0.050	0.179	0.048	0.342
46	0.049	0.134	0.050	0.302
47	0.047	0.158	0.055	0.344
48	0.059	0.140	0.054	0.333
49	0.055	0.148	0.067	0.358
50	0.051	0.160	0.068	0.381
51	0.052	0.145	0.065	0.352
52	0.044	0.125	0.062	0.316
53	0.048	0.111	0.062	0.309
54	0.046	0.096	0.060	0.283
55	0.045	0.099	0.063	0.297
56	0.040	0.100	0.056	0.284
57	0.041	0.093	0.060	0.282
58	0.046	0.097	0.062	0.288
59	0.040	0.087	0.077	0.275
60	0.044	0.082	0.061	0.256
61	0.044	0.081	0.064	0.249
62	0.040	0.065	0.065	0.220
63	0.038	0.051	0.052	0.183
64	0.039	0.067	0.062	0.214
65	0.040	0.084	0.065	0.240
66	0.046	0.091	0.067	0.274
67	0.042	0.091	0.063	0.265
68	0.043	0.099	0.063	0.272
69	0.036	0.083	0.060	0.237
70	0.039	0.107	0.061	0.272
71	0.035	0.064	0.069	0.217
72	0.038	0.081	0.071	0.231
73	0.039	0.089	0.076	0.264
74	0.032	0.080	0.067	0.224
75	0.029	0.049	0.059	0.173
76	0.032	0.043	0.062	0.169
77	0.030	0.043	0.049	0.148
78	0.037	0.127	0.064	0.264
79	0.032	0.086	0.076	0.222
80	0.032	0.072	0.074	0.211
81	0.033	0.086	0.058	0.225
82	0.036	0.106	0.052	0.236
83	0.036	0.098	0.052	0.232
84	0.035	0.092	0.058	0.238
85	0.037	0.105	0.056	0.247
86	0.044	0.188	0.052	0.363
87	0.035	0.120	0.056	0.258
88	0.039	0.114	0.052	0.264
89	0.043	0.124	0.046	0.248
90	0.039	0.120	0.050	0.259
91	0.055	0.178	0.049	0.363
92	0.046	0.159	0.041	0.297
93	0.048	0.206	0.046	0.375
94	0.052	0.161	0.031	0.298
95	0.046	0.186	0.038	0.328
96	0.050	0.211	0.034	0.358
97	0.044	0.216	0.064	0.382
98	0.051	0.226	0.043	0.382
99	0.047	0.237	0.048	0.385
100	0.050	0.243	0.045	0.392
101	0.057	0.306	0.031	0.459
102	0.073	0.387	0.027	0.573
103	0.068	0.336	0.034	0.514
104	0.068	0.392	0.030	0.555
105	0.074	0.366	0.033	0.550
106	0.077	0.324	0.033	0.496
107	0.091	0.330	0.032	0.519
108	0.088	0.344	0.037	0.534
109	0.080	0.300	0.046	0.483
110	0.076	0.314	0.036	0.484
111	0.079	0.322	0.046	0.519
112	0.083	0.356	0.055	0.586
113	0.096	0.357	0.049	0.586
114	0.054	0.217	0.034	0.365
115	0.083	0.317	0.044	0.526
116	0.040	0.278	0.014	0.369
117	0.027	0.098	0.011	0.156
118	0.145	0.345	0.088	0.645
