institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.018	0.147	0.012	0.183
1	0.023	0.180	0.014	0.231
2	0.022	0.147	0.019	0.199
3	0.028	0.188	0.026	0.257
4	0.030	0.214	0.019	0.285
5	0.034	0.210	0.020	0.289
6	0.049	0.287	0.023	0.393
7	0.051	0.168	0.030	0.286
8	0.058	0.183	0.051	0.360
9	0.056	0.152	0.068	0.342
10	0.046	0.143	0.065	0.317
11	0.043	0.163	0.068	0.355
12	0.048	0.224	0.051	0.390
13	0.040	0.126	0.035	0.234
14	0.039	0.100	0.049	0.220
15	0.056	0.273	0.026	0.416
16	0.075	0.286	0.032	0.442
