institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.0091725759858652	0.9979065994684655	1.0035289942648555
1	0.3647901258329921	0.20746956032500677	0.37321352908741817	0.3023565492587518
2	0.22976378487336682	0.1476840312788607	0.2637268744265527	0.20449854605326734
3	0.16887761582451602	0.12346649965022428	0.2125127222830387	0.15976437582073869
4	0.13253209554347858	0.1128148395204148	0.1693276034617039	0.13299023146962546
5	0.1079506109992816	0.10384214321218442	0.13284155767733988	0.11281127993590075
6	0.0850020286760502	0.09243015658395194	0.11133379932014174	0.09489302298703385
7	0.06391429537298848	0.08316515412642943	0.08462760243291557	0.07789133787228035
8	0.025009822322107217	0.048978194167219276	0.03673078673265678	0.03911145790699015
9	0.0064947836070339505	0.02139441107743553	0.0052393431698975045	0.01384516930868397
10	3.1251825328040966e-05	1.1067108154092303e-05	5.6758580706744255e-05	2.7478162733777903e-05
