institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.169	0.046	0.306
1	0.060	0.255	0.045	0.447
2	0.074	0.554	0.017	0.741
3	0.068	0.235	0.037	0.382
4	0.040	0.399	0.018	0.488
5	0.059	0.557	0.007	0.658
