institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.056	0.122	0.046	0.064	0.026	0.156	0.129	0.099	0.302	1.000
1	0.083	0.188	0.060	0.080	0.030	0.171	0.108	0.075	0.206	1.000
2	0.078	0.183	0.069	0.080	0.030	0.163	0.099	0.073	0.224	1.000
3	0.074	0.250	0.059	0.076	0.039	0.161	0.068	0.060	0.213	1.000
