institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.183	0.044	0.324
1	0.044	0.131	0.062	0.287
2	0.081	0.373	0.062	0.611
3	0.016	0.111	0.047	0.174
