institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.009172575985865	0.9979065994684652	1.0035289942648553
1	0.48835204306881647	0.30234421215663365	0.4945164164336548	0.4166358509770005
2	0.36124795525186726	0.2138580299732818	0.3805326717912031	0.30589031935452204
3	0.29921298433167565	0.186906055356455	0.32187916709914244	0.2591889234499791
4	0.22910235005569535	0.16438238223038726	0.2551414756862023	0.20961903493746556
5	0.18875680761461427	0.14651533394914518	0.21183735312985996	0.17715659688214264
6	0.1583383764617574	0.13469037395427563	0.1760931856868413	0.15411354722990767
7	0.13617520608861045	0.12570362975625682	0.15648237323846192	0.1381247495996421
8	0.11292442471579889	0.11340685474752425	0.13171720260472808	0.11924178405748799
9	0.09848512638850565	0.10674707762659431	0.11121045197801144	0.10675876644622913
10	0.08528614255823243	0.09968038420975034	0.08611073100723454	0.09384256959260547
11	0.0720196197221088	0.09219138902923876	0.06876842587865412	0.08202268630867761
12	0.059509297596170976	0.07996681906555225	0.05742375865341904	0.06926853631778239
13	0.04425203494388977	0.07029497224616463	0.043190189099817096	0.05641827431465077
14	0.025346392687340093	0.05641275317951458	0.03104848740178697	0.040892510358395584
15	0.01173169325675363	0.030258477070004296	0.014896600612193094	0.021027192360898835
16	0.002515841283400328	0.004955748776236053	0.001606407598626688	0.0037152701979187774
17	0.0005001523597782862	0.0001949973757726808	0.0002069349967424178	0.00030083326547697284
18	3.1251825328040966e-05	1.1067108154092303e-05	5.6758580706744255e-05	2.7478162733777903e-05
