institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.174	0.045	0.313
1	0.040	0.119	0.045	0.239
2	0.057	0.167	0.042	0.315
3	0.056	0.200	0.043	0.355
4	0.053	0.294	0.049	0.475
5	0.054	0.410	0.054	0.634
6	0.056	0.422	0.051	0.663
7	0.066	0.365	0.072	0.621
8	0.084	0.444	0.052	0.729
