institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.202	0.041	0.337
1	0.050	0.174	0.043	0.317
2	0.045	0.154	0.045	0.308
3	0.042	0.110	0.051	0.243
4	0.040	0.078	0.048	0.205
5	0.040	0.054	0.048	0.184
6	0.036	0.077	0.054	0.205
7	0.034	0.072	0.061	0.201
8	0.034	0.051	0.061	0.179
9	0.029	0.043	0.077	0.178
10	0.031	0.045	0.057	0.160
11	0.036	0.071	0.061	0.206
12	0.038	0.098	0.055	0.230
13	0.038	0.112	0.065	0.244
14	0.041	0.113	0.051	0.242
15	0.041	0.121	0.046	0.247
16	0.037	0.103	0.052	0.234
17	0.048	0.123	0.058	0.270
18	0.040	0.130	0.070	0.284
19	0.036	0.107	0.062	0.250
20	0.043	0.165	0.060	0.325
21	0.044	0.159	0.055	0.309
22	0.048	0.153	0.046	0.299
23	0.050	0.155	0.045	0.309
24	0.042	0.132	0.049	0.265
25	0.054	0.188	0.048	0.352
26	0.049	0.209	0.051	0.365
27	0.053	0.256	0.038	0.418
28	0.066	0.290	0.035	0.465
29	0.060	0.300	0.042	0.481
30	0.061	0.338	0.035	0.522
31	0.062	0.330	0.034	0.515
32	0.064	0.344	0.033	0.531
33	0.065	0.323	0.035	0.516
34	0.072	0.346	0.030	0.555
35	0.065	0.266	0.048	0.453
36	0.073	0.364	0.039	0.576
37	0.075	0.312	0.044	0.537
38	0.077	0.331	0.043	0.553
39	0.081	0.361	0.045	0.576
40	0.068	0.252	0.037	0.428
41	0.059	0.214	0.043	0.385
42	0.069	0.359	0.043	0.553
43	0.080	0.406	0.062	0.647
44	0.029	0.103	0.025	0.176
45	0.068	0.413	0.060	0.590
46	0.061	0.384	0.066	0.554
48	0.061	0.383	0.066	0.553
49	0.061	0.383	0.066	0.553
50	0.061	0.383	0.066	0.553
51	0.061	0.383	0.066	0.553
53	0.061	0.383	0.066	0.553
59	0.061	0.383	0.066	0.553
