institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.018	0.160	0.015	0.201
1	0.032	0.187	0.028	0.268
2	0.043	0.232	0.037	0.352
3	0.054	0.180	0.052	0.344
4	0.051	0.219	0.038	0.371
5	0.052	0.195	0.051	0.380
6	0.058	0.209	0.060	0.408
7	0.046	0.139	0.092	0.353
8	0.041	0.098	0.069	0.253
9	0.034	0.043	0.062	0.165
10	0.043	0.076	0.035	0.181
11	0.048	0.191	0.052	0.346
12	0.056	0.226	0.052	0.411
13	0.046	0.196	0.048	0.353
14	0.032	0.059	0.021	0.139
15	0.037	0.074	0.032	0.155
