institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.012	0.164	0.011	0.192
1	0.025	0.148	0.015	0.198
2	0.017	0.166	0.009	0.200
3	0.019	0.195	0.014	0.240
4	0.041	0.254	0.018	0.336
5	0.042	0.265	0.023	0.357
6	0.045	0.242	0.024	0.336
7	0.044	0.234	0.025	0.330
8	0.044	0.275	0.025	0.369
9	0.043	0.267	0.021	0.353
10	0.044	0.279	0.022	0.373
11	0.038	0.209	0.024	0.294
12	0.051	0.275	0.036	0.396
13	0.052	0.250	0.032	0.370
14	0.051	0.218	0.037	0.334
15	0.047	0.237	0.035	0.363
16	0.045	0.206	0.044	0.336
17	0.047	0.221	0.046	0.357
18	0.060	0.207	0.046	0.386
19	0.061	0.202	0.065	0.490
20	0.061	0.193	0.077	0.439
21	0.052	0.162	0.073	0.374
22	0.047	0.169	0.049	0.319
23	0.044	0.129	0.051	0.273
24	0.054	0.222	0.053	0.395
