institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.055	0.124	0.048	0.065	0.026	0.162	0.132	0.100	0.289	1.000
1	0.079	0.166	0.058	0.075	0.031	0.158	0.110	0.079	0.243	1.000
2	0.080	0.173	0.048	0.066	0.024	0.132	0.084	0.070	0.323	1.000
3	0.068	0.145	0.044	0.054	0.024	0.128	0.094	0.075	0.368	1.000
4	0.082	0.151	0.036	0.050	0.022	0.123	0.093	0.078	0.366	1.000
5	0.092	0.144	0.036	0.054	0.021	0.137	0.071	0.065	0.380	1.000
6	0.101	0.100	0.028	0.053	0.024	0.110	0.107	0.087	0.390	1.000
7	0.067	0.076	0.016	0.034	0.016	0.063	0.095	0.101	0.533	1.000
