institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658497	1.009172575985865	0.9979065994684654	1.0035289942648555
1	0.9028319708595858	0.8008256374815766	0.9116711056956065	0.8708396370991635
2	0.7623953198432217	0.5324220564058818	0.7819652857363569	0.6811205626420193
3	0.6824706915053395	0.3842969179854502	0.6967375010042001	0.5701757740677262
4	0.6411430958478512	0.3351365988916774	0.6374281108443142	0.520211291313226
5	0.5562303222661249	0.2758399092026439	0.5643795783516357	0.44655330262464904
6	0.4817605986577281	0.23406740170652102	0.45282653326473227	0.37210784412555054
7	0.35336328945495227	0.2041152559743739	0.3047236415644135	0.28317005251476396
8	0.16838583750777342	0.1467957177587646	0.10551569340955698	0.14814370099096968
9	0.002247506302555503	0.0003176829426930467	0.0027452043974905633	0.0015341064272002655
