institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.019	0.143	0.011	0.180
1	0.012	0.161	0.010	0.189
2	0.025	0.187	0.016	0.245
3	0.029	0.223	0.023	0.292
4	0.019	0.174	0.014	0.215
5	0.021	0.150	0.017	0.197
6	0.045	0.287	0.020	0.380
7	0.044	0.268	0.028	0.366
8	0.041	0.229	0.025	0.319
9	0.047	0.258	0.025	0.359
10	0.043	0.237	0.023	0.337
11	0.047	0.185	0.040	0.314
12	0.054	0.244	0.041	0.379
13	0.051	0.193	0.041	0.350
14	0.054	0.154	0.056	0.328
15	0.053	0.151	0.065	0.342
16	0.045	0.128	0.068	0.322
17	0.040	0.163	0.071	0.336
18	0.044	0.176	0.044	0.321
19	0.042	0.120	0.041	0.234
20	0.041	0.117	0.048	0.245
21	0.055	0.263	0.026	0.406
22	0.069	0.292	0.033	0.444
23	0.099	0.336	0.024	0.512
