institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
73	0.055	0.154	0.077	0.079	0.026	0.157	0.128	0.086	0.238	1.000
74	0.051	0.130	0.063	0.078	0.028	0.166	0.134	0.088	0.262	1.000
75	0.049	0.121	0.060	0.079	0.027	0.161	0.133	0.100	0.269	1.000
76	0.050	0.131	0.063	0.080	0.024	0.164	0.134	0.095	0.260	1.000
77	0.055	0.129	0.059	0.076	0.025	0.168	0.130	0.091	0.266	1.000
78	0.052	0.128	0.050	0.068	0.020	0.178	0.123	0.102	0.277	1.000
79	0.054	0.135	0.063	0.067	0.026	0.167	0.133	0.092	0.263	1.000
80	0.050	0.133	0.053	0.066	0.026	0.174	0.128	0.090	0.279	1.000
81	0.048	0.131	0.054	0.068	0.026	0.168	0.134	0.090	0.279	1.000
82	0.050	0.130	0.052	0.063	0.028	0.172	0.137	0.094	0.273	1.000
83	0.045	0.114	0.049	0.061	0.027	0.179	0.130	0.098	0.296	1.000
84	0.045	0.135	0.072	0.078	0.030	0.164	0.142	0.086	0.247	1.000
85	0.055	0.139	0.064	0.064	0.030	0.167	0.139	0.085	0.257	1.000
86	0.054	0.136	0.059	0.060	0.025	0.172	0.125	0.092	0.278	1.000
87	0.057	0.139	0.057	0.060	0.026	0.172	0.134	0.091	0.264	1.000
88	0.048	0.121	0.053	0.055	0.024	0.158	0.129	0.095	0.317	1.000
89	0.056	0.137	0.060	0.057	0.023	0.177	0.132	0.092	0.264	1.000
90	0.054	0.132	0.067	0.061	0.026	0.174	0.132	0.092	0.262	1.000
91	0.062	0.139	0.069	0.057	0.023	0.174	0.128	0.089	0.258	1.000
92	0.058	0.122	0.065	0.052	0.021	0.162	0.133	0.102	0.285	1.000
93	0.057	0.109	0.056	0.051	0.021	0.162	0.124	0.104	0.315	1.000
94	0.054	0.129	0.057	0.054	0.022	0.162	0.132	0.097	0.294	1.000
95	0.056	0.136	0.049	0.056	0.022	0.154	0.133	0.099	0.295	1.000
96	0.055	0.142	0.054	0.057	0.028	0.164	0.133	0.096	0.271	1.000
97	0.053	0.133	0.046	0.055	0.022	0.167	0.128	0.102	0.295	1.000
98	0.053	0.130	0.054	0.057	0.022	0.165	0.134	0.097	0.288	1.000
99	0.053	0.126	0.049	0.053	0.028	0.177	0.135	0.102	0.276	1.000
100	0.055	0.150	0.057	0.066	0.031	0.175	0.130	0.083	0.254	1.000
101	0.052	0.137	0.052	0.058	0.022	0.173	0.131	0.096	0.279	1.000
102	0.048	0.112	0.051	0.056	0.020	0.159	0.122	0.097	0.336	1.000
103	0.048	0.116	0.050	0.056	0.023	0.164	0.134	0.100	0.309	1.000
104	0.046	0.106	0.055	0.054	0.025	0.157	0.137	0.101	0.320	1.000
105	0.042	0.098	0.044	0.057	0.022	0.153	0.121	0.098	0.364	1.000
106	0.046	0.108	0.046	0.059	0.023	0.156	0.129	0.098	0.333	1.000
107	0.051	0.108	0.047	0.064	0.021	0.164	0.119	0.095	0.330	1.000
108	0.040	0.119	0.038	0.063	0.018	0.157	0.123	0.092	0.348	1.000
109	0.043	0.111	0.038	0.057	0.020	0.156	0.131	0.100	0.344	1.000
110	0.041	0.108	0.034	0.053	0.020	0.157	0.134	0.106	0.347	1.000
111	0.040	0.096	0.037	0.057	0.020	0.147	0.120	0.102	0.382	1.000
112	0.031	0.082	0.029	0.051	0.015	0.121	0.107	0.100	0.466	1.000
113	0.035	0.092	0.033	0.056	0.017	0.131	0.116	0.098	0.422	1.000
114	0.046	0.132	0.052	0.076	0.023	0.155	0.126	0.085	0.305	1.000
115	0.038	0.093	0.041	0.049	0.017	0.142	0.132	0.105	0.383	1.000
116	0.035	0.078	0.030	0.040	0.020	0.123	0.134	0.103	0.437	1.000
117	0.038	0.091	0.041	0.051	0.019	0.131	0.128	0.097	0.403	1.000
118	0.040	0.113	0.036	0.048	0.021	0.134	0.119	0.097	0.391	1.000
119	0.038	0.092	0.029	0.043	0.017	0.129	0.131	0.100	0.420	1.000
120	0.041	0.100	0.034	0.045	0.017	0.132	0.130	0.101	0.400	1.000
121	0.045	0.103	0.038	0.053	0.020	0.141	0.123	0.097	0.380	1.000
122	0.041	0.090	0.036	0.042	0.017	0.128	0.123	0.102	0.421	1.000
123	0.039	0.090	0.032	0.050	0.014	0.123	0.123	0.107	0.422	1.000
124	0.033	0.077	0.031	0.037	0.017	0.128	0.133	0.105	0.439	1.000
125	0.037	0.078	0.029	0.042	0.019	0.137	0.130	0.097	0.430	1.000
126	0.035	0.075	0.026	0.041	0.020	0.133	0.126	0.103	0.441	1.000
127	0.035	0.084	0.031	0.052	0.020	0.128	0.128	0.116	0.406	1.000
128	0.044	0.082	0.029	0.044	0.018	0.128	0.123	0.112	0.420	1.000
129	0.040	0.079	0.029	0.044	0.019	0.133	0.117	0.112	0.429	1.000
130	0.039	0.077	0.029	0.042	0.017	0.127	0.125	0.114	0.429	1.000
131	0.032	0.074	0.033	0.044	0.022	0.132	0.125	0.114	0.426	1.000
132	0.033	0.083	0.028	0.052	0.023	0.125	0.132	0.122	0.402	1.000
133	0.039	0.077	0.029	0.060	0.023	0.151	0.141	0.125	0.355	1.000
134	0.031	0.062	0.036	0.050	0.029	0.154	0.134	0.128	0.376	1.000
135	0.040	0.077	0.046	0.052	0.028	0.152	0.142	0.117	0.346	1.000
136	0.031	0.066	0.032	0.043	0.023	0.133	0.134	0.115	0.423	1.000
137	0.030	0.062	0.027	0.043	0.022	0.136	0.146	0.124	0.410	1.000
138	0.034	0.074	0.030	0.047	0.023	0.148	0.146	0.124	0.374	1.000
139	0.036	0.073	0.027	0.054	0.022	0.147	0.144	0.128	0.368	1.000
140	0.040	0.078	0.029	0.053	0.020	0.153	0.149	0.122	0.356	1.000
141	0.040	0.082	0.032	0.056	0.023	0.156	0.146	0.117	0.347	1.000
142	0.042	0.090	0.038	0.053	0.024	0.155	0.144	0.108	0.347	1.000
143	0.044	0.098	0.040	0.065	0.024	0.164	0.145	0.112	0.308	1.000
144	0.054	0.134	0.055	0.082	0.026	0.175	0.136	0.096	0.242	1.000
145	0.051	0.128	0.046	0.075	0.025	0.173	0.148	0.104	0.250	1.000
146	0.051	0.128	0.061	0.073	0.027	0.179	0.147	0.096	0.238	1.000
147	0.070	0.166	0.067	0.085	0.036	0.186	0.130	0.082	0.178	1.000
148	0.093	0.218	0.079	0.093	0.034	0.199	0.110	0.067	0.107	1.000
149	0.089	0.191	0.063	0.077	0.031	0.160	0.098	0.073	0.219	1.000
150	0.074	0.157	0.052	0.071	0.028	0.138	0.099	0.072	0.308	1.000
151	0.086	0.176	0.059	0.082	0.034	0.180	0.122	0.083	0.179	1.000
152	0.094	0.178	0.051	0.070	0.032	0.157	0.122	0.092	0.203	1.000
153	0.096	0.175	0.053	0.077	0.030	0.155	0.123	0.092	0.199	1.000
154	0.115	0.218	0.062	0.097	0.030	0.165	0.098	0.064	0.151	1.000
155	0.122	0.209	0.064	0.086	0.024	0.121	0.091	0.070	0.213	1.000
156	0.124	0.192	0.051	0.063	0.016	0.107	0.089	0.068	0.290	1.000
