institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.199	0.042	0.338
1	0.041	0.089	0.047	0.216
2	0.032	0.061	0.058	0.181
3	0.037	0.042	0.052	0.157
4	0.030	0.059	0.079	0.208
5	0.042	0.113	0.073	0.287
6	0.041	0.134	0.051	0.282
7	0.046	0.149	0.053	0.295
8	0.051	0.183	0.048	0.323
9	0.058	0.249	0.039	0.408
10	0.059	0.254	0.038	0.411
11	0.059	0.278	0.045	0.459
12	0.051	0.241	0.048	0.411
13	0.051	0.215	0.039	0.386
14	0.051	0.230	0.040	0.402
15	0.053	0.194	0.034	0.354
16	0.051	0.222	0.040	0.389
17	0.059	0.220	0.058	0.418
18	0.066	0.178	0.044	0.345
19	0.047	0.149	0.076	0.333
20	0.053	0.249	0.068	0.447
21	0.055	0.311	0.072	0.522
22	0.060	0.411	0.043	0.614
23	0.071	0.318	0.059	0.540
24	0.067	0.351	0.031	0.576
