institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.046	0.195	0.044	0.338
1	0.039	0.140	0.033	0.248
2	0.037	0.088	0.037	0.200
3	0.040	0.080	0.049	0.210
4	0.038	0.083	0.052	0.204
5	0.038	0.080	0.054	0.203
6	0.045	0.158	0.056	0.297
7	0.044	0.129	0.060	0.285
8	0.041	0.107	0.044	0.226
9	0.038	0.099	0.056	0.228
10	0.038	0.135	0.081	0.310
11	0.042	0.145	0.077	0.324
12	0.057	0.242	0.057	0.433
13	0.059	0.210	0.055	0.382
14	0.065	0.298	0.049	0.488
15	0.062	0.325	0.033	0.509
16	0.068	0.352	0.037	0.559
17	0.059	0.361	0.029	0.540
18	0.071	0.393	0.041	0.617
19	0.068	0.363	0.048	0.615
20	0.072	0.244	0.056	0.462
21	0.049	0.240	0.047	0.357
22	0.046	0.085	0.031	0.176
24	0.061	0.383	0.066	0.553
