institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.052	0.117	0.046	0.065	0.026	0.161	0.133	0.102	0.297	1.000
1	0.091	0.200	0.068	0.083	0.032	0.170	0.106	0.070	0.180	1.000
2	0.081	0.184	0.058	0.069	0.027	0.145	0.099	0.065	0.271	1.000
3	0.112	0.225	0.061	0.078	0.030	0.146	0.090	0.064	0.193	1.000
4	0.068	0.106	0.028	0.037	0.020	0.102	0.083	0.083	0.472	1.000
5	0.066	0.083	0.029	0.040	0.017	0.088	0.078	0.092	0.506	1.000
6	0.067	0.098	0.034	0.039	0.018	0.089	0.078	0.077	0.500	1.000
7	0.044	0.073	0.023	0.037	0.017	0.069	0.096	0.080	0.560	1.000
8	0.107	0.068	0.022	0.023	0.003	0.049	0.081	0.105	0.543	1.000
