institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.056	0.121	0.049	0.065	0.026	0.165	0.129	0.098	0.292	1.000
1	0.047	0.119	0.047	0.057	0.023	0.155	0.141	0.100	0.310	1.000
2	0.048	0.110	0.042	0.068	0.023	0.152	0.131	0.102	0.323	1.000
3	0.040	0.086	0.029	0.041	0.023	0.138	0.136	0.108	0.398	1.000
4	0.035	0.072	0.028	0.045	0.023	0.142	0.139	0.121	0.395	1.000
5	0.031	0.066	0.032	0.044	0.024	0.149	0.145	0.120	0.389	1.000
6	0.042	0.115	0.050	0.057	0.025	0.158	0.141	0.105	0.307	1.000
7	0.042	0.116	0.050	0.068	0.021	0.173	0.140	0.103	0.287	1.000
8	0.037	0.094	0.042	0.061	0.028	0.152	0.141	0.117	0.328	1.000
9	0.045	0.101	0.046	0.058	0.027	0.168	0.144	0.112	0.299	1.000
10	0.060	0.116	0.047	0.070	0.028	0.171	0.129	0.107	0.271	1.000
11	0.049	0.096	0.039	0.058	0.023	0.158	0.128	0.116	0.334	1.000
12	0.053	0.096	0.041	0.063	0.024	0.156	0.130	0.107	0.330	1.000
13	0.037	0.088	0.035	0.060	0.020	0.150	0.141	0.113	0.356	1.000
14	0.053	0.111	0.044	0.068	0.028	0.164	0.141	0.100	0.292	1.000
15	0.051	0.106	0.047	0.066	0.031	0.163	0.139	0.103	0.294	1.000
16	0.070	0.131	0.053	0.081	0.033	0.188	0.136	0.096	0.212	1.000
17	0.090	0.193	0.075	0.092	0.038	0.184	0.117	0.072	0.138	1.000
18	0.086	0.172	0.062	0.087	0.033	0.179	0.121	0.082	0.178	1.000
19	0.079	0.167	0.055	0.074	0.029	0.162	0.108	0.080	0.246	1.000
20	0.086	0.205	0.063	0.083	0.035	0.190	0.114	0.080	0.144	1.000
21	0.097	0.220	0.066	0.085	0.035	0.173	0.110	0.068	0.148	1.000
22	0.092	0.189	0.052	0.073	0.028	0.157	0.096	0.080	0.233	1.000
23	0.084	0.185	0.066	0.074	0.028	0.148	0.096	0.073	0.245	1.000
24	0.063	0.171	0.052	0.075	0.028	0.134	0.101	0.076	0.298	1.000
25	0.058	0.119	0.038	0.059	0.021	0.106	0.085	0.070	0.443	1.000
26	0.056	0.084	0.030	0.042	0.015	0.086	0.089	0.079	0.518	1.000
27	0.096	0.178	0.056	0.070	0.020	0.128	0.091	0.069	0.291	1.000
28	0.086	0.163	0.046	0.055	0.021	0.148	0.115	0.084	0.283	1.000
29	0.067	0.079	0.022	0.034	0.017	0.086	0.093	0.095	0.505	1.000
