institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.017	0.147	0.012	0.183
1	0.025	0.172	0.016	0.230
2	0.016	0.136	0.014	0.173
3	0.021	0.133	0.017	0.177
4	0.020	0.129	0.020	0.178
5	0.022	0.246	0.017	0.296
6	0.019	0.186	0.011	0.226
7	0.025	0.188	0.018	0.243
8	0.040	0.261	0.018	0.343
9	0.051	0.313	0.022	0.418
10	0.044	0.287	0.025	0.395
11	0.041	0.209	0.026	0.303
12	0.044	0.215	0.031	0.323
13	0.047	0.248	0.029	0.363
14	0.055	0.268	0.027	0.398
15	0.059	0.199	0.042	0.390
16	0.054	0.161	0.051	0.329
17	0.061	0.159	0.054	0.334
18	0.047	0.120	0.081	0.319
19	0.045	0.152	0.067	0.349
20	0.039	0.159	0.070	0.327
21	0.048	0.223	0.046	0.387
22	0.039	0.146	0.045	0.268
23	0.044	0.107	0.047	0.230
24	0.039	0.089	0.035	0.192
25	0.065	0.375	0.034	0.551
26	0.083	0.329	0.027	0.489
