institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.0091725759858652	0.9979065994684653	1.0035289942648555
1	0.47786314296872845	0.24280071258413694	0.4873712838385322	0.3843505626891754
2	0.33678131362557806	0.20794558140263739	0.3844433309760423	0.2973910042406303
3	0.2747974942211229	0.1966503971605276	0.3056983751986267	0.2544934392397114
4	0.22837875298352153	0.1753571038604711	0.21868136641253916	0.21088243608996102
5	0.1686491334485989	0.1438137121398202	0.1608450256046482	0.1628241108843583
6	0.1246598661067347	0.1194401527992745	0.1142550417910882	0.12560173533852056
7	0.08483428135488857	0.08484058133850318	0.07281658336737408	0.08585946342127093
8	0.050633554130753274	0.049460089373573116	0.043897361313843676	0.05131213909594394
9	0.028094669994055976	0.023977750058213253	0.02519355006451417	0.027270375251905093
10	0.014087040035946626	0.010521798074079073	0.014655753217732229	0.01339689683411446
11	0.009153683190657954	0.0070484732029342315	0.01080531276940152	0.009030162893022397
12	0.003722100154323926	0.004099562450444665	0.004627151003149568	0.0042977586797152065
13	0.001568596650886707	0.0018299140518025538	0.0017581392761052603	0.0018006282194300244
14	0.0002541711813759966	0.0002531988425267368	0.0002668812327702398	0.00027747202619246266
