institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.004	0.146	0.003	0.153
1	0.011	0.170	0.007	0.192
2	0.011	0.105	0.012	0.133
3	0.007	0.148	0.013	0.170
4	0.011	0.173	0.012	0.201
5	0.015	0.158	0.012	0.195
6	0.034	0.173	0.011	0.244
7	0.016	0.128	0.010	0.163
8	0.026	0.231	0.018	0.284
9	0.022	0.201	0.019	0.251
10	0.021	0.176	0.014	0.219
11	0.028	0.182	0.015	0.238
12	0.025	0.185	0.011	0.231
13	0.021	0.166	0.009	0.204
14	0.023	0.156	0.007	0.193
15	0.019	0.165	0.012	0.201
16	0.019	0.174	0.009	0.211
17	0.017	0.150	0.010	0.184
18	0.016	0.129	0.013	0.163
19	0.015	0.129	0.013	0.162
20	0.015	0.148	0.009	0.179
21	0.015	0.143	0.011	0.176
22	0.020	0.131	0.015	0.172
23	0.020	0.163	0.017	0.208
24	0.017	0.160	0.016	0.202
25	0.020	0.171	0.014	0.215
26	0.022	0.174	0.014	0.220
27	0.020	0.176	0.010	0.216
28	0.024	0.216	0.015	0.271
29	0.049	0.300	0.014	0.395
30	0.056	0.265	0.022	0.374
31	0.040	0.270	0.026	0.362
32	0.041	0.245	0.032	0.341
33	0.043	0.290	0.024	0.386
34	0.054	0.303	0.027	0.419
35	0.053	0.223	0.029	0.343
36	0.048	0.220	0.028	0.347
37	0.054	0.236	0.036	0.376
38	0.053	0.173	0.057	0.346
39	0.056	0.215	0.070	0.435
40	0.054	0.174	0.068	0.377
41	0.048	0.116	0.044	0.257
42	0.036	0.077	0.052	0.217
43	0.042	0.147	0.067	0.320
44	0.060	0.267	0.036	0.416
45	0.072	0.266	0.110	0.582
