institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658494	1.009172575985865	0.9979065994684655	1.0035289942648555
1	0.2304166529592811	0.20710762192069107	0.21979735067322997	0.22616039135455188
2	0.059290310976409216	0.07826827529873394	0.07141923297522024	0.07222362592307888
3	0.027483858057184507	0.05122525909451495	0.04236708472626838	0.04209296287294871
4	0.010193484740479533	0.038652820115732345	0.022993565344846763	0.02621229947701537
5	0.005644205173718839	0.022595757047517057	0.014742682736234521	0.014825554877700972
6	0.003131626172196957	0.012383078148018211	0.008321817484254583	0.008288316341141237
7	0.001982757920245199	0.006768085985864882	0.005164399341409615	0.004867464163627284
8	0.0012542092173031668	0.003979077939680417	0.002807794890381286	0.0028714887297251017
9	0.00042538190166506966	0.0013209049758601257	0.0005538714157414734	0.0009117026367628253
