institution_count	pct_pop_18_to_64_latinx	pct_pop_18_to_64_white	pct_pop_18_to_64_black	pct_pop_18_to_64_all
0	1.0023966177658499	1.0091725759858654	0.9979065994684655	1.0035289942648555
1	0.5786196864843096	0.33639114033580614	0.5955662838330683	0.4831017983012458
2	0.41260377886876604	0.20629319774012372	0.43162132203790615	0.33064650106476146
3	0.33145349982998024	0.1675400245597069	0.3188312667994033	0.2600581077803349
4	0.2768311051584001	0.15115742155970202	0.24483275881983518	0.21771424352180832
5	0.21357888515712026	0.12968061454920932	0.18225650796873594	0.17188099572751886
6	0.15595726713696098	0.1010306158571681	0.1339822023367404	0.12856397660281638
7	0.09164638137880556	0.06887631923438933	0.07521967319446123	0.078922494937465
8	0.048616331547437094	0.04406103962661796	0.042853410681878465	0.04521448537904026
9	0.025097703398352496	0.030432094689476708	0.02351299437268911	0.026696717298540115
10	0.011701060367676992	0.014921141633360124	0.013794995877339691	0.013237075293195764
11	0.004819716619868104	0.0075041413067930525	0.008181591621531845	0.006388221673161302
12	0.002323612519916863	0.0031026833229919424	0.0054996038626183115	0.00309439108909675
13	0.0013299507028662224	0.0019060885504152364	0.0037672158042103146	0.0019158292522979447
14	0.000744433114643734	0.0013040135640261577	0.0019862899262501513	0.0011517417582749133
15	0.00025765520979033904	0.0006927491020870246	0.0005617791844286827	0.00047863426197608826
16	0.00011376950067689648	0.0003058883206861682	0.00024805761682495525	0.00021134438164935646
17	4.27447257518309e-05	0.0001149263405449187	9.319857025608518e-05	7.940491589611554e-05
