institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.073	0.155	0.071	0.062	0.027	0.163	0.149	0.080	0.219	1.000
1	0.064	0.148	0.058	0.067	0.035	0.176	0.122	0.106	0.224	1.000
2	0.049	0.147	0.061	0.067	0.029	0.160	0.124	0.103	0.261	1.000
3	0.065	0.141	0.049	0.077	0.040	0.185	0.131	0.104	0.209	1.000
4	0.054	0.115	0.046	0.067	0.036	0.172	0.136	0.096	0.278	1.000
5	0.045	0.099	0.031	0.067	0.031	0.169	0.146	0.096	0.316	1.000
6	0.051	0.110	0.050	0.055	0.032	0.167	0.133	0.084	0.318	1.000
7	0.053	0.112	0.044	0.079	0.030	0.203	0.131	0.096	0.252	1.000
8	0.063	0.109	0.053	0.074	0.022	0.197	0.134	0.093	0.254	1.000
9	0.083	0.122	0.064	0.062	0.028	0.200	0.134	0.094	0.213	1.000
10	0.065	0.080	0.040	0.073	0.022	0.144	0.141	0.092	0.344	1.000
11	0.060	0.109	0.042	0.082	0.023	0.176	0.139	0.101	0.268	1.000
12	0.069	0.138	0.053	0.068	0.028	0.151	0.123	0.088	0.282	1.000
13	0.051	0.102	0.047	0.065	0.019	0.151	0.132	0.097	0.336	1.000
14	0.065	0.122	0.055	0.069	0.027	0.163	0.136	0.096	0.266	1.000
15	0.055	0.134	0.064	0.076	0.025	0.183	0.137	0.103	0.223	1.000
16	0.066	0.147	0.053	0.078	0.029	0.188	0.131	0.092	0.215	1.000
17	0.051	0.134	0.047	0.063	0.026	0.169	0.136	0.106	0.268	1.000
18	0.048	0.121	0.049	0.064	0.024	0.177	0.136	0.106	0.276	1.000
19	0.050	0.123	0.049	0.060	0.023	0.169	0.133	0.107	0.285	1.000
20	0.052	0.130	0.051	0.061	0.022	0.156	0.127	0.104	0.296	1.000
21	0.042	0.101	0.043	0.057	0.018	0.162	0.124	0.116	0.337	1.000
22	0.053	0.133	0.052	0.076	0.030	0.158	0.138	0.092	0.268	1.000
23	0.075	0.111	0.045	0.059	0.025	0.177	0.145	0.097	0.268	1.000
24	0.054	0.131	0.061	0.061	0.022	0.171	0.126	0.101	0.274	1.000
25	0.055	0.142	0.061	0.065	0.024	0.176	0.141	0.089	0.246	1.000
26	0.051	0.138	0.063	0.062	0.024	0.168	0.138	0.090	0.267	1.000
27	0.050	0.143	0.063	0.061	0.023	0.165	0.131	0.088	0.276	1.000
28	0.056	0.153	0.057	0.059	0.024	0.153	0.131	0.089	0.279	1.000
29	0.052	0.133	0.056	0.062	0.023	0.159	0.135	0.092	0.287	1.000
30	0.055	0.132	0.054	0.052	0.021	0.157	0.128	0.098	0.303	1.000
31	0.044	0.104	0.057	0.054	0.023	0.157	0.130	0.097	0.332	1.000
32	0.046	0.118	0.054	0.053	0.023	0.152	0.129	0.094	0.330	1.000
33	0.040	0.117	0.056	0.060	0.024	0.154	0.134	0.092	0.322	1.000
34	0.041	0.137	0.058	0.070	0.025	0.162	0.132	0.083	0.291	1.000
35	0.043	0.120	0.044	0.069	0.028	0.155	0.130	0.086	0.326	1.000
36	0.042	0.107	0.035	0.053	0.020	0.160	0.131	0.108	0.344	1.000
37	0.048	0.124	0.042	0.060	0.021	0.159	0.133	0.094	0.319	1.000
38	0.042	0.114	0.036	0.061	0.022	0.151	0.127	0.097	0.350	1.000
39	0.038	0.109	0.034	0.056	0.019	0.154	0.133	0.100	0.357	1.000
40	0.039	0.098	0.037	0.064	0.024	0.151	0.126	0.099	0.363	1.000
41	0.042	0.107	0.035	0.062	0.020	0.147	0.130	0.098	0.358	1.000
42	0.032	0.078	0.027	0.050	0.018	0.129	0.116	0.105	0.445	1.000
43	0.032	0.076	0.032	0.047	0.019	0.126	0.118	0.108	0.441	1.000
44	0.033	0.077	0.033	0.044	0.019	0.127	0.129	0.105	0.433	1.000
45	0.033	0.084	0.035	0.042	0.017	0.128	0.126	0.100	0.435	1.000
46	0.037	0.090	0.037	0.051	0.016	0.131	0.135	0.101	0.401	1.000
47	0.037	0.100	0.038	0.052	0.016	0.137	0.127	0.102	0.391	1.000
48	0.034	0.102	0.039	0.056	0.015	0.124	0.128	0.103	0.399	1.000
49	0.033	0.088	0.035	0.049	0.015	0.126	0.127	0.102	0.425	1.000
50	0.039	0.099	0.035	0.047	0.018	0.135	0.138	0.098	0.392	1.000
51	0.036	0.103	0.034	0.047	0.018	0.135	0.134	0.105	0.388	1.000
52	0.040	0.103	0.038	0.047	0.019	0.125	0.135	0.101	0.393	1.000
53	0.036	0.100	0.035	0.041	0.017	0.126	0.137	0.101	0.406	1.000
54	0.033	0.088	0.025	0.039	0.015	0.121	0.137	0.104	0.438	1.000
55	0.030	0.078	0.027	0.043	0.015	0.121	0.131	0.108	0.448	1.000
56	0.033	0.084	0.025	0.041	0.018	0.129	0.135	0.106	0.429	1.000
57	0.029	0.082	0.022	0.042	0.021	0.127	0.129	0.104	0.444	1.000
58	0.037	0.083	0.026	0.044	0.020	0.143	0.129	0.105	0.414	1.000
59	0.035	0.076	0.028	0.061	0.017	0.146	0.126	0.104	0.406	1.000
60	0.030	0.075	0.024	0.037	0.022	0.135	0.126	0.107	0.444	1.000
61	0.040	0.098	0.031	0.050	0.024	0.139	0.122	0.102	0.393	1.000
62	0.040	0.077	0.028	0.042	0.018	0.121	0.119	0.109	0.446	1.000
63	0.037	0.086	0.038	0.043	0.022	0.141	0.130	0.113	0.390	1.000
64	0.041	0.093	0.036	0.045	0.020	0.134	0.126	0.109	0.397	1.000
65	0.037	0.091	0.037	0.042	0.016	0.132	0.138	0.111	0.398	1.000
66	0.042	0.095	0.031	0.046	0.018	0.132	0.128	0.115	0.392	1.000
67	0.038	0.093	0.028	0.038	0.025	0.129	0.128	0.108	0.413	1.000
68	0.036	0.075	0.036	0.044	0.022	0.131	0.136	0.107	0.414	1.000
69	0.040	0.085	0.038	0.047	0.022	0.136	0.134	0.110	0.388	1.000
70	0.041	0.083	0.035	0.041	0.020	0.135	0.132	0.112	0.401	1.000
71	0.042	0.093	0.037	0.045	0.022	0.133	0.135	0.110	0.384	1.000
72	0.044	0.087	0.039	0.040	0.021	0.126	0.140	0.105	0.400	1.000
73	0.040	0.083	0.035	0.044	0.025	0.141	0.133	0.115	0.384	1.000
74	0.037	0.076	0.031	0.040	0.020	0.136	0.145	0.113	0.402	1.000
75	0.049	0.092	0.037	0.047	0.022	0.142	0.137	0.102	0.372	1.000
76	0.037	0.075	0.033	0.042	0.021	0.139	0.138	0.106	0.409	1.000
77	0.041	0.088	0.039	0.051	0.024	0.146	0.137	0.105	0.369	1.000
78	0.039	0.100	0.038	0.044	0.024	0.142	0.137	0.103	0.372	1.000
79	0.034	0.086	0.035	0.041	0.024	0.138	0.139	0.107	0.396	1.000
80	0.037	0.085	0.034	0.042	0.020	0.139	0.143	0.111	0.388	1.000
81	0.037	0.084	0.029	0.044	0.018	0.138	0.140	0.115	0.395	1.000
82	0.026	0.071	0.030	0.033	0.015	0.107	0.137	0.120	0.461	1.000
83	0.044	0.093	0.031	0.048	0.022	0.127	0.129	0.116	0.390	1.000
84	0.041	0.090	0.032	0.046	0.019	0.130	0.122	0.114	0.406	1.000
85	0.036	0.091	0.033	0.050	0.021	0.141	0.134	0.113	0.381	1.000
86	0.038	0.096	0.030	0.053	0.021	0.143	0.139	0.109	0.372	1.000
87	0.040	0.091	0.030	0.053	0.023	0.142	0.143	0.107	0.372	1.000
88	0.041	0.097	0.032	0.059	0.023	0.138	0.138	0.122	0.349	1.000
89	0.037	0.090	0.030	0.059	0.022	0.149	0.139	0.115	0.361	1.000
90	0.040	0.086	0.031	0.058	0.023	0.146	0.134	0.120	0.362	1.000
