institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.001	0.161	0.001	0.163
1	0.017	0.127	0.010	0.158
2	0.018	0.253	0.002	0.277
3	0.008	0.140	0.011	0.162
4	0.005	0.120	0.008	0.135
5	0.006	0.129	0.009	0.147
6	0.013	0.079	0.015	0.113
7	0.004	0.114	0.015	0.136
8	0.010	0.102	0.011	0.127
9	0.003	0.102	0.010	0.117
10	0.010	0.153	0.009	0.176
11	0.007	0.117	0.014	0.140
12	0.015	0.159	0.011	0.190
13	0.008	0.205	0.013	0.231
14	0.011	0.152	0.007	0.174
15	0.007	0.145	0.009	0.165
16	0.011	0.147	0.010	0.171
17	0.018	0.148	0.008	0.179
18	0.024	0.148	0.009	0.184
19	0.024	0.141	0.008	0.178
20	0.028	0.201	0.012	0.268
21	0.015	0.113	0.015	0.158
22	0.025	0.152	0.009	0.206
23	0.023	0.141	0.007	0.178
24	0.032	0.204	0.011	0.277
25	0.030	0.158	0.007	0.212
26	0.040	0.195	0.010	0.273
27	0.036	0.188	0.008	0.252
28	0.032	0.178	0.008	0.235
29	0.034	0.213	0.013	0.282
30	0.023	0.175	0.016	0.225
31	0.028	0.314	0.027	0.380
32	0.023	0.247	0.021	0.298
33	0.018	0.200	0.015	0.239
34	0.025	0.202	0.021	0.258
35	0.019	0.205	0.013	0.245
36	0.017	0.160	0.007	0.191
37	0.021	0.185	0.020	0.237
38	0.028	0.199	0.017	0.255
39	0.019	0.212	0.011	0.252
40	0.019	0.202	0.008	0.240
41	0.023	0.173	0.014	0.218
42	0.020	0.160	0.009	0.196
43	0.020	0.162	0.008	0.200
44	0.021	0.161	0.009	0.198
45	0.020	0.165	0.010	0.204
46	0.021	0.167	0.008	0.204
47	0.022	0.172	0.009	0.212
48	0.020	0.159	0.011	0.198
49	0.022	0.153	0.011	0.194
50	0.021	0.181	0.011	0.220
51	0.024	0.171	0.010	0.213
52	0.023	0.174	0.011	0.216
53	0.025	0.167	0.011	0.212
54	0.023	0.164	0.012	0.209
55	0.021	0.160	0.009	0.199
56	0.025	0.189	0.010	0.233
57	0.019	0.156	0.013	0.196
58	0.021	0.158	0.013	0.201
59	0.014	0.117	0.021	0.155
60	0.022	0.170	0.009	0.211
61	0.020	0.166	0.013	0.207
62	0.019	0.140	0.009	0.174
63	0.018	0.149	0.010	0.184
64	0.021	0.154	0.010	0.192
65	0.017	0.145	0.011	0.180
66	0.017	0.127	0.011	0.162
67	0.019	0.123	0.013	0.158
68	0.017	0.165	0.010	0.200
69	0.014	0.150	0.009	0.179
70	0.013	0.129	0.007	0.155
71	0.010	0.108	0.006	0.128
72	0.014	0.118	0.010	0.148
73	0.015	0.121	0.015	0.156
74	0.018	0.132	0.014	0.171
75	0.023	0.134	0.013	0.176
76	0.022	0.142	0.015	0.183
77	0.020	0.159	0.015	0.200
78	0.020	0.148	0.012	0.186
79	0.018	0.149	0.014	0.188
80	0.021	0.159	0.012	0.200
81	0.019	0.163	0.012	0.203
82	0.018	0.162	0.011	0.198
83	0.018	0.186	0.012	0.225
84	0.020	0.158	0.015	0.198
85	0.020	0.151	0.013	0.189
86	0.020	0.163	0.015	0.206
87	0.017	0.146	0.014	0.185
88	0.020	0.197	0.017	0.246
89	0.019	0.153	0.015	0.196
90	0.019	0.156	0.014	0.197
91	0.020	0.146	0.017	0.191
92	0.018	0.167	0.018	0.214
93	0.022	0.186	0.019	0.240
94	0.021	0.168	0.017	0.216
95	0.026	0.186	0.018	0.246
96	0.021	0.179	0.018	0.229
97	0.024	0.175	0.018	0.229
98	0.020	0.170	0.015	0.217
99	0.022	0.197	0.016	0.248
100	0.021	0.179	0.019	0.229
101	0.021	0.176	0.020	0.228
102	0.035	0.232	0.017	0.305
103	0.028	0.206	0.016	0.267
104	0.026	0.214	0.013	0.271
105	0.038	0.254	0.013	0.326
106	0.035	0.226	0.014	0.298
107	0.030	0.218	0.013	0.279
108	0.032	0.226	0.015	0.292
109	0.032	0.231	0.016	0.299
110	0.033	0.251	0.016	0.322
111	0.044	0.268	0.018	0.356
112	0.050	0.344	0.014	0.441
113	0.040	0.289	0.019	0.375
114	0.027	0.164	0.032	0.237
115	0.032	0.235	0.019	0.305
116	0.044	0.268	0.032	0.372
117	0.041	0.261	0.024	0.351
118	0.046	0.241	0.025	0.336
119	0.047	0.252	0.033	0.363
120	0.041	0.250	0.023	0.340
121	0.044	0.226	0.028	0.325
122	0.046	0.278	0.027	0.389
123	0.053	0.260	0.026	0.381
124	0.050	0.302	0.028	0.413
125	0.046	0.285	0.025	0.389
126	0.055	0.278	0.031	0.403
127	0.054	0.287	0.027	0.410
128	0.052	0.277	0.028	0.410
129	0.056	0.256	0.030	0.396
130	0.052	0.261	0.031	0.401
131	0.052	0.269	0.025	0.391
132	0.054	0.218	0.042	0.395
133	0.050	0.197	0.054	0.380
134	0.056	0.209	0.053	0.396
135	0.052	0.212	0.057	0.383
136	0.055	0.235	0.052	0.425
137	0.055	0.245	0.051	0.426
138	0.053	0.207	0.051	0.398
139	0.057	0.198	0.052	0.389
140	0.055	0.205	0.055	0.377
141	0.053	0.187	0.074	0.381
142	0.053	0.186	0.056	0.380
143	0.047	0.145	0.074	0.329
144	0.045	0.125	0.058	0.292
145	0.044	0.124	0.056	0.282
146	0.048	0.132	0.060	0.293
147	0.037	0.071	0.051	0.212
148	0.033	0.042	0.047	0.146
149	0.047	0.165	0.047	0.321
150	0.058	0.259	0.033	0.400
151	0.047	0.104	0.069	0.267
152	0.047	0.148	0.090	0.350
153	0.039	0.111	0.096	0.282
154	0.043	0.097	0.074	0.259
155	0.054	0.135	0.091	0.339
156	0.062	0.203	0.108	0.463
