institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.009	0.107	0.011	0.129
1	0.010	0.153	0.008	0.175
2	0.011	0.170	0.009	0.194
3	0.008	0.142	0.006	0.162
4	0.027	0.141	0.008	0.179
5	0.014	0.148	0.006	0.174
6	0.029	0.203	0.012	0.270
7	0.030	0.183	0.010	0.241
8	0.021	0.226	0.019	0.277
9	0.015	0.167	0.013	0.201
10	0.018	0.193	0.010	0.228
11	0.021	0.209	0.009	0.247
12	0.021	0.168	0.012	0.210
13	0.026	0.169	0.016	0.221
14	0.020	0.149	0.012	0.190
15	0.018	0.142	0.013	0.179
16	0.021	0.154	0.014	0.197
17	0.022	0.171	0.012	0.214
18	0.022	0.148	0.014	0.191
19	0.017	0.154	0.010	0.188
20	0.012	0.114	0.008	0.138
21	0.023	0.175	0.012	0.216
22	0.021	0.153	0.016	0.196
23	0.019	0.149	0.015	0.192
24	0.017	0.141	0.013	0.178
25	0.020	0.163	0.019	0.210
26	0.021	0.174	0.016	0.223
27	0.022	0.160	0.019	0.210
28	0.021	0.170	0.018	0.220
29	0.025	0.184	0.022	0.246
30	0.042	0.237	0.031	0.344
31	0.051	0.287	0.029	0.412
32	0.041	0.232	0.048	0.420
33	0.048	0.204	0.073	0.424
34	0.050	0.206	0.051	0.401
35	0.063	0.281	0.037	0.431
36	0.058	0.221	0.044	0.371
37	0.054	0.233	0.044	0.377
38	0.058	0.205	0.058	0.384
39	0.037	0.079	0.069	0.230
40	0.049	0.179	0.045	0.330
41	0.043	0.036	0.039	0.135
42	0.045	0.047	0.043	0.149
