institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.060	0.134	0.049	0.067	0.027	0.160	0.127	0.096	0.279	1.000
1	0.055	0.092	0.038	0.053	0.024	0.140	0.113	0.097	0.388	1.000
2	0.046	0.067	0.017	0.023	0.020	0.082	0.113	0.111	0.521	1.000
3	0.030	0.066	0.024	0.028	0.017	0.124	0.179	0.110	0.421	1.000
4	0.015	0.020	0.007	0.016	0.007	0.106	0.108	0.108	0.613	1.000
