institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.176	0.045	0.316
1	0.057	0.292	0.046	0.459
2	0.059	0.339	0.100	0.663
3	0.087	0.341	0.127	0.708
4	0.023	0.097	0.384	0.534
