institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.018	0.151	0.010	0.186
1	0.030	0.227	0.014	0.288
2	0.041	0.262	0.021	0.346
3	0.040	0.225	0.021	0.308
4	0.038	0.217	0.033	0.312
5	0.050	0.287	0.033	0.419
6	0.047	0.238	0.032	0.352
7	0.059	0.189	0.061	0.353
8	0.049	0.226	0.044	0.360
9	0.047	0.208	0.038	0.328
10	0.049	0.184	0.065	0.407
11	0.055	0.193	0.057	0.395
12	0.041	0.126	0.057	0.271
13	0.053	0.186	0.036	0.317
14	0.090	0.372	0.023	0.544
