institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.006	0.149	0.011	0.169
1	0.017	0.131	0.011	0.163
2	0.025	0.165	0.012	0.212
3	0.029	0.179	0.012	0.231
4	0.011	0.119	0.009	0.145
5	0.024	0.164	0.019	0.234
6	0.031	0.186	0.022	0.257
7	0.018	0.130	0.020	0.177
8	0.020	0.120	0.015	0.162
9	0.021	0.241	0.020	0.288
10	0.017	0.153	0.010	0.186
11	0.018	0.197	0.010	0.232
12	0.022	0.134	0.014	0.175
13	0.016	0.155	0.014	0.191
14	0.014	0.123	0.010	0.152
15	0.015	0.139	0.010	0.170
16	0.019	0.166	0.013	0.207
17	0.018	0.163	0.018	0.207
18	0.020	0.162	0.012	0.202
19	0.020	0.182	0.013	0.225
20	0.018	0.148	0.017	0.190
21	0.023	0.185	0.017	0.236
22	0.022	0.175	0.021	0.232
23	0.023	0.194	0.019	0.247
24	0.026	0.198	0.017	0.255
25	0.030	0.269	0.016	0.336
26	0.035	0.259	0.017	0.332
27	0.034	0.244	0.017	0.317
28	0.036	0.247	0.019	0.322
29	0.043	0.240	0.017	0.323
30	0.048	0.247	0.019	0.342
31	0.042	0.280	0.017	0.366
32	0.045	0.262	0.018	0.352
33	0.058	0.344	0.020	0.457
34	0.051	0.339	0.021	0.443
35	0.046	0.287	0.022	0.382
36	0.051	0.294	0.023	0.398
37	0.046	0.291	0.025	0.397
38	0.041	0.249	0.026	0.341
39	0.042	0.272	0.026	0.370
40	0.046	0.249	0.029	0.353
41	0.049	0.277	0.028	0.386
42	0.050	0.293	0.029	0.409
43	0.049	0.279	0.033	0.402
44	0.053	0.276	0.030	0.397
45	0.051	0.259	0.028	0.374
46	0.047	0.227	0.030	0.343
47	0.045	0.224	0.028	0.330
48	0.047	0.261	0.030	0.375
49	0.055	0.298	0.030	0.420
50	0.049	0.247	0.030	0.365
51	0.049	0.235	0.033	0.356
52	0.050	0.256	0.033	0.379
53	0.048	0.243	0.028	0.360
54	0.052	0.245	0.026	0.366
55	0.054	0.230	0.034	0.362
56	0.060	0.244	0.038	0.395
57	0.056	0.260	0.035	0.411
58	0.054	0.224	0.036	0.385
59	0.059	0.205	0.039	0.352
60	0.054	0.213	0.044	0.388
61	0.058	0.197	0.043	0.380
62	0.054	0.173	0.053	0.366
63	0.059	0.203	0.061	0.437
64	0.056	0.190	0.066	0.400
65	0.055	0.204	0.066	0.422
66	0.057	0.216	0.059	0.403
67	0.060	0.215	0.058	0.403
68	0.059	0.220	0.051	0.399
69	0.061	0.190	0.060	0.383
70	0.058	0.176	0.077	0.379
71	0.054	0.176	0.075	0.387
72	0.053	0.165	0.078	0.387
73	0.054	0.179	0.049	0.364
74	0.056	0.170	0.041	0.334
75	0.053	0.151	0.050	0.327
76	0.044	0.115	0.063	0.292
77	0.044	0.157	0.048	0.333
78	0.053	0.144	0.069	0.339
79	0.048	0.180	0.066	0.374
80	0.044	0.129	0.060	0.307
81	0.040	0.128	0.064	0.291
82	0.043	0.104	0.078	0.274
83	0.040	0.114	0.061	0.261
84	0.039	0.119	0.065	0.272
85	0.041	0.124	0.055	0.265
86	0.042	0.118	0.057	0.266
87	0.039	0.119	0.067	0.284
88	0.042	0.165	0.053	0.329
89	0.044	0.117	0.035	0.241
90	0.040	0.135	0.029	0.240
91	0.035	0.081	0.033	0.171
92	0.041	0.174	0.049	0.305
93	0.051	0.270	0.035	0.406
94	0.065	0.354	0.025	0.507
95	0.087	0.355	0.029	0.539
96	0.080	0.404	0.036	0.594
97	0.076	0.294	0.032	0.453
98	0.071	0.047	0.024	0.146
