institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.073	0.154	0.065	0.069	0.028	0.170	0.133	0.089	0.219	1.000
1	0.055	0.129	0.047	0.067	0.036	0.171	0.134	0.101	0.260	1.000
2	0.051	0.113	0.049	0.064	0.036	0.180	0.136	0.090	0.281	1.000
3	0.066	0.098	0.044	0.075	0.022	0.155	0.142	0.096	0.302	1.000
4	0.071	0.141	0.052	0.073	0.030	0.165	0.130	0.089	0.248	1.000
5	0.049	0.101	0.043	0.064	0.025	0.171	0.132	0.103	0.313	1.000
6	0.055	0.129	0.053	0.068	0.025	0.182	0.136	0.097	0.257	1.000
7	0.053	0.129	0.064	0.063	0.023	0.159	0.133	0.095	0.282	1.000
8	0.049	0.130	0.065	0.064	0.026	0.159	0.132	0.093	0.283	1.000
9	0.047	0.122	0.051	0.063	0.025	0.164	0.137	0.094	0.297	1.000
10	0.038	0.129	0.041	0.057	0.016	0.161	0.133	0.096	0.329	1.000
11	0.047	0.110	0.036	0.059	0.020	0.147	0.126	0.097	0.358	1.000
12	0.037	0.097	0.039	0.052	0.019	0.130	0.123	0.097	0.406	1.000
13	0.038	0.102	0.034	0.056	0.019	0.142	0.132	0.103	0.373	1.000
14	0.036	0.096	0.032	0.059	0.016	0.133	0.129	0.105	0.394	1.000
15	0.033	0.077	0.032	0.045	0.017	0.126	0.123	0.105	0.442	1.000
16	0.035	0.082	0.032	0.043	0.018	0.128	0.133	0.098	0.432	1.000
17	0.030	0.077	0.028	0.044	0.020	0.130	0.126	0.106	0.439	1.000
18	0.032	0.068	0.025	0.039	0.017	0.119	0.125	0.106	0.469	1.000
19	0.034	0.087	0.029	0.042	0.021	0.130	0.128	0.108	0.420	1.000
20	0.038	0.083	0.032	0.042	0.021	0.126	0.121	0.108	0.430	1.000
21	0.040	0.081	0.028	0.045	0.020	0.133	0.124	0.103	0.426	1.000
22	0.037	0.075	0.030	0.039	0.020	0.124	0.132	0.115	0.427	1.000
23	0.042	0.075	0.032	0.045	0.023	0.133	0.130	0.119	0.401	1.000
24	0.040	0.077	0.034	0.049	0.022	0.142	0.140	0.125	0.370	1.000
25	0.039	0.078	0.036	0.053	0.022	0.144	0.145	0.124	0.359	1.000
26	0.037	0.075	0.031	0.055	0.023	0.153	0.145	0.122	0.361	1.000
27	0.034	0.082	0.031	0.050	0.024	0.156	0.149	0.132	0.342	1.000
28	0.043	0.075	0.037	0.056	0.029	0.154	0.137	0.122	0.348	1.000
29	0.037	0.080	0.030	0.049	0.025	0.159	0.145	0.123	0.353	1.000
30	0.044	0.084	0.032	0.056	0.022	0.157	0.139	0.111	0.356	1.000
31	0.032	0.080	0.035	0.057	0.022	0.150	0.146	0.116	0.361	1.000
32	0.048	0.137	0.051	0.072	0.027	0.177	0.139	0.095	0.254	1.000
33	0.054	0.131	0.062	0.072	0.030	0.180	0.138	0.100	0.232	1.000
34	0.060	0.144	0.062	0.073	0.029	0.176	0.136	0.093	0.226	1.000
35	0.076	0.169	0.061	0.079	0.030	0.174	0.118	0.088	0.205	1.000
36	0.092	0.208	0.066	0.087	0.035	0.189	0.110	0.074	0.138	1.000
37	0.105	0.202	0.069	0.090	0.035	0.164	0.102	0.064	0.170	1.000
38	0.095	0.181	0.061	0.073	0.030	0.142	0.093	0.067	0.258	1.000
39	0.067	0.138	0.045	0.065	0.023	0.103	0.090	0.075	0.395	1.000
40	0.057	0.108	0.035	0.054	0.018	0.103	0.100	0.077	0.448	1.000
41	0.084	0.153	0.044	0.057	0.019	0.122	0.087	0.075	0.358	1.000
42	0.107	0.264	0.054	0.107	0.025	0.149	0.133	0.055	0.105	1.000
