institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.009	0.137	0.006	0.156
1	0.013	0.175	0.013	0.205
2	0.010	0.116	0.016	0.146
3	0.029	0.169	0.011	0.219
4	0.016	0.191	0.012	0.227
5	0.023	0.193	0.010	0.248
6	0.027	0.226	0.015	0.283
7	0.021	0.210	0.009	0.252
8	0.023	0.179	0.016	0.229
9	0.041	0.261	0.015	0.341
10	0.042	0.222	0.018	0.302
11	0.040	0.254	0.019	0.336
12	0.040	0.206	0.020	0.286
13	0.033	0.167	0.026	0.242
14	0.040	0.215	0.024	0.299
15	0.048	0.266	0.025	0.368
16	0.045	0.274	0.026	0.373
17	0.039	0.239	0.028	0.327
18	0.043	0.278	0.028	0.374
19	0.049	0.265	0.035	0.378
20	0.045	0.266	0.025	0.364
21	0.049	0.274	0.027	0.382
22	0.041	0.250	0.030	0.352
23	0.041	0.250	0.027	0.344
24	0.046	0.246	0.029	0.345
25	0.042	0.230	0.030	0.331
26	0.055	0.260	0.030	0.392
27	0.060	0.259	0.032	0.407
28	0.052	0.235	0.037	0.365
29	0.053	0.230	0.033	0.361
30	0.051	0.207	0.045	0.358
31	0.057	0.169	0.070	0.396
32	0.063	0.196	0.062	0.444
33	0.048	0.198	0.058	0.386
34	0.050	0.181	0.058	0.365
35	0.057	0.217	0.047	0.413
36	0.053	0.202	0.074	0.421
37	0.058	0.210	0.057	0.400
38	0.052	0.177	0.067	0.394
39	0.049	0.192	0.061	0.380
40	0.042	0.180	0.059	0.354
41	0.042	0.121	0.064	0.283
42	0.044	0.140	0.062	0.305
43	0.041	0.127	0.053	0.263
44	0.040	0.088	0.041	0.198
45	0.041	0.097	0.052	0.220
46	0.053	0.225	0.038	0.368
47	0.054	0.213	0.043	0.369
48	0.062	0.205	0.058	0.382
49	0.039	0.657	0.005	0.767
