institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.013	0.161	0.015	0.195
1	0.020	0.152	0.012	0.192
2	0.026	0.245	0.015	0.302
3	0.030	0.215	0.019	0.285
4	0.024	0.142	0.019	0.196
5	0.027	0.154	0.020	0.217
6	0.027	0.166	0.028	0.236
7	0.035	0.186	0.026	0.267
8	0.037	0.223	0.029	0.311
9	0.029	0.204	0.023	0.275
10	0.043	0.225	0.029	0.328
11	0.048	0.285	0.030	0.408
12	0.059	0.256	0.028	0.395
13	0.059	0.211	0.042	0.356
14	0.058	0.205	0.046	0.357
15	0.059	0.188	0.049	0.357
16	0.062	0.232	0.054	0.421
17	0.061	0.217	0.063	0.408
18	0.058	0.246	0.057	0.418
19	0.059	0.236	0.058	0.417
20	0.055	0.280	0.045	0.444
21	0.062	0.236	0.057	0.413
22	0.060	0.254	0.054	0.423
23	0.053	0.211	0.053	0.379
24	0.053	0.217	0.038	0.362
25	0.052	0.170	0.047	0.320
26	0.048	0.164	0.055	0.319
27	0.052	0.190	0.050	0.354
28	0.050	0.183	0.054	0.346
29	0.052	0.153	0.052	0.311
30	0.050	0.160	0.068	0.346
31	0.052	0.125	0.068	0.315
32	0.058	0.173	0.053	0.374
33	0.053	0.140	0.059	0.324
34	0.052	0.148	0.061	0.351
35	0.047	0.129	0.061	0.322
36	0.046	0.110	0.058	0.294
37	0.042	0.118	0.071	0.306
38	0.041	0.090	0.064	0.268
39	0.043	0.108	0.063	0.296
40	0.038	0.072	0.061	0.230
41	0.042	0.068	0.058	0.225
42	0.037	0.080	0.070	0.259
43	0.043	0.095	0.071	0.268
44	0.044	0.104	0.072	0.297
45	0.038	0.083	0.072	0.248
46	0.040	0.082	0.073	0.244
47	0.035	0.083	0.066	0.237
48	0.039	0.097	0.075	0.268
49	0.037	0.087	0.071	0.238
50	0.031	0.077	0.061	0.207
51	0.029	0.082	0.047	0.194
52	0.038	0.091	0.061	0.231
53	0.036	0.116	0.054	0.253
54	0.034	0.088	0.049	0.213
55	0.042	0.155	0.052	0.318
56	0.034	0.115	0.048	0.234
57	0.042	0.131	0.037	0.258
58	0.040	0.119	0.053	0.255
59	0.037	0.089	0.050	0.216
60	0.054	0.160	0.046	0.344
61	0.050	0.180	0.041	0.324
62	0.050	0.226	0.066	0.407
63	0.048	0.186	0.045	0.340
64	0.051	0.228	0.032	0.366
65	0.053	0.254	0.035	0.397
66	0.061	0.298	0.029	0.456
67	0.064	0.315	0.030	0.474
68	0.068	0.302	0.036	0.485
69	0.083	0.343	0.026	0.522
70	0.077	0.417	0.031	0.598
71	0.082	0.390	0.037	0.580
72	0.084	0.423	0.045	0.645
73	0.073	0.336	0.046	0.535
74	0.069	0.264	0.048	0.461
75	0.085	0.422	0.036	0.625
76	0.035	0.137	0.020	0.230
77	0.065	0.135	0.047	0.273
