institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.021	0.196	0.015	0.243
1	0.030	0.206	0.020	0.273
2	0.039	0.197	0.024	0.286
3	0.042	0.185	0.029	0.289
4	0.059	0.214	0.037	0.362
5	0.052	0.182	0.049	0.318
6	0.043	0.190	0.037	0.306
7	0.055	0.282	0.037	0.418
8	0.055	0.257	0.043	0.406
9	0.047	0.198	0.045	0.336
10	0.052	0.213	0.043	0.380
11	0.053	0.210	0.054	0.392
12	0.056	0.213	0.044	0.388
13	0.051	0.203	0.052	0.384
14	0.055	0.197	0.069	0.401
15	0.049	0.161	0.078	0.382
16	0.051	0.151	0.067	0.338
17	0.045	0.128	0.074	0.348
18	0.044	0.109	0.046	0.272
19	0.041	0.101	0.055	0.303
20	0.044	0.098	0.055	0.268
21	0.042	0.071	0.058	0.228
22	0.042	0.060	0.059	0.205
23	0.043	0.075	0.057	0.228
24	0.046	0.098	0.059	0.265
25	0.044	0.127	0.052	0.274
26	0.037	0.065	0.049	0.187
27	0.032	0.053	0.063	0.188
28	0.034	0.071	0.076	0.214
29	0.030	0.078	0.081	0.222
30	0.032	0.089	0.071	0.251
31	0.049	0.163	0.049	0.329
32	0.044	0.143	0.042	0.273
33	0.041	0.220	0.035	0.368
34	0.055	0.288	0.027	0.430
35	0.057	0.304	0.055	0.496
36	0.073	0.374	0.046	0.559
37	0.075	0.277	0.048	0.455
38	0.080	0.224	0.031	0.375
39	0.075	0.291	0.039	0.464
40	0.069	0.200	0.047	0.377
41	0.050	0.250	0.008	0.334
