institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.009	0.136	0.009	0.158
1	0.023	0.172	0.011	0.220
2	0.022	0.221	0.015	0.268
3	0.021	0.189	0.008	0.226
4	0.021	0.138	0.015	0.181
5	0.019	0.133	0.013	0.172
6	0.016	0.131	0.010	0.162
7	0.020	0.177	0.014	0.222
8	0.035	0.202	0.028	0.293
9	0.052	0.232	0.048	0.402
10	0.046	0.146	0.051	0.293
