institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.020	0.179	0.014	0.223
1	0.025	0.172	0.022	0.232
2	0.044	0.212	0.024	0.304
3	0.049	0.259	0.027	0.376
4	0.057	0.240	0.040	0.395
5	0.058	0.213	0.059	0.395
6	0.055	0.191	0.037	0.318
7	0.056	0.135	0.050	0.292
8	0.055	0.183	0.058	0.350
9	0.052	0.157	0.061	0.319
10	0.045	0.141	0.055	0.285
11	0.051	0.159	0.077	0.360
12	0.053	0.146	0.071	0.383
13	0.052	0.173	0.070	0.410
14	0.043	0.133	0.072	0.345
15	0.044	0.163	0.058	0.354
16	0.037	0.116	0.068	0.265
17	0.034	0.064	0.061	0.191
18	0.043	0.109	0.056	0.264
19	0.043	0.177	0.055	0.336
20	0.037	0.098	0.054	0.236
21	0.038	0.089	0.049	0.236
22	0.049	0.176	0.066	0.359
23	0.048	0.186	0.044	0.337
24	0.057	0.243	0.026	0.382
25	0.069	0.378	0.025	0.541
26	0.074	0.441	0.033	0.645
27	0.063	0.253	0.037	0.402
28	0.085	0.229	0.030	0.386
29	0.104	0.420	0.054	0.698
