institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.007	0.138	0.010	0.157
1	0.011	0.176	0.009	0.201
2	0.009	0.099	0.015	0.127
3	0.026	0.178	0.013	0.224
4	0.021	0.181	0.010	0.220
5	0.023	0.204	0.012	0.258
6	0.014	0.145	0.009	0.176
7	0.022	0.191	0.014	0.237
8	0.024	0.182	0.015	0.231
9	0.023	0.202	0.013	0.250
10	0.028	0.195	0.015	0.252
11	0.025	0.169	0.016	0.219
12	0.036	0.215	0.019	0.290
13	0.037	0.210	0.018	0.283
14	0.038	0.231	0.018	0.310
15	0.044	0.249	0.024	0.345
16	0.050	0.290	0.026	0.397
17	0.040	0.239	0.026	0.331
18	0.047	0.275	0.027	0.384
19	0.047	0.294	0.033	0.407
20	0.046	0.236	0.029	0.345
21	0.055	0.257	0.031	0.401
22	0.055	0.276	0.030	0.403
23	0.055	0.259	0.037	0.413
24	0.049	0.235	0.038	0.392
25	0.054	0.253	0.038	0.416
26	0.056	0.222	0.053	0.411
27	0.053	0.228	0.045	0.401
28	0.055	0.218	0.044	0.366
29	0.056	0.200	0.055	0.371
30	0.054	0.190	0.061	0.363
31	0.058	0.189	0.064	0.393
32	0.052	0.182	0.063	0.376
33	0.053	0.227	0.053	0.436
34	0.045	0.165	0.059	0.343
35	0.046	0.142	0.070	0.326
36	0.044	0.154	0.055	0.330
37	0.042	0.100	0.069	0.266
38	0.044	0.126	0.049	0.270
39	0.044	0.115	0.044	0.249
40	0.038	0.079	0.053	0.203
41	0.039	0.083	0.045	0.199
42	0.042	0.129	0.048	0.257
43	0.053	0.228	0.043	0.374
44	0.052	0.286	0.076	0.507
45	0.069	0.360	0.044	0.547
46	0.080	0.327	0.029	0.495
47	0.066	0.242	0.058	0.437
