institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.044	0.183	0.044	0.320
1	0.042	0.144	0.048	0.276
2	0.047	0.153	0.051	0.305
3	0.047	0.165	0.050	0.317
4	0.049	0.160	0.046	0.309
5	0.058	0.247	0.046	0.428
6	0.054	0.249	0.046	0.424
7	0.058	0.279	0.053	0.483
8	0.057	0.225	0.056	0.416
9	0.062	0.253	0.068	0.466
10	0.074	0.329	0.058	0.553
11	0.088	0.382	0.062	0.670
12	0.095	0.386	0.056	0.691
13	0.090	0.427	0.048	0.668
14	0.099	0.438	0.104	0.736
