institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.023	0.169	0.019	0.226
1	0.053	0.221	0.053	0.375
2	0.048	0.249	0.029	0.371
3	0.059	0.241	0.038	0.383
4	0.050	0.184	0.063	0.374
5	0.047	0.144	0.069	0.336
6	0.046	0.089	0.043	0.225
7	0.044	0.097	0.057	0.260
8	0.040	0.096	0.057	0.275
9	0.043	0.081	0.061	0.262
10	0.034	0.054	0.060	0.185
11	0.033	0.083	0.065	0.214
12	0.041	0.132	0.053	0.282
13	0.059	0.287	0.047	0.465
14	0.069	0.215	0.034	0.364
15	0.054	0.155	0.108	0.373
