institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.007	0.141	0.009	0.161
1	0.019	0.140	0.011	0.177
2	0.021	0.150	0.013	0.192
3	0.022	0.214	0.017	0.268
4	0.024	0.174	0.016	0.225
5	0.017	0.178	0.011	0.214
6	0.018	0.151	0.012	0.187
7	0.017	0.161	0.015	0.200
8	0.021	0.178	0.015	0.225
9	0.028	0.186	0.019	0.249
10	0.025	0.193	0.018	0.250
11	0.038	0.228	0.018	0.306
12	0.040	0.267	0.020	0.351
13	0.040	0.251	0.018	0.332
14	0.048	0.262	0.021	0.359
15	0.054	0.324	0.024	0.438
16	0.048	0.285	0.027	0.395
17	0.055	0.301	0.028	0.421
18	0.051	0.294	0.044	0.428
19	0.049	0.269	0.033	0.386
20	0.051	0.273	0.034	0.415
21	0.051	0.269	0.029	0.401
22	0.050	0.276	0.031	0.418
23	0.051	0.241	0.034	0.398
24	0.051	0.221	0.036	0.369
25	0.055	0.207	0.051	0.382
26	0.056	0.202	0.053	0.375
27	0.054	0.188	0.055	0.354
28	0.059	0.176	0.071	0.363
29	0.055	0.177	0.069	0.363
30	0.053	0.181	0.069	0.397
31	0.049	0.193	0.055	0.393
32	0.049	0.139	0.047	0.298
33	0.049	0.117	0.057	0.282
34	0.045	0.127	0.056	0.295
35	0.039	0.116	0.066	0.272
36	0.040	0.077	0.047	0.200
37	0.038	0.132	0.051	0.267
38	0.042	0.194	0.064	0.365
39	0.069	0.342	0.029	0.503
40	0.073	0.384	0.031	0.557
41	0.075	0.296	0.038	0.472
42	0.060	0.044	0.021	0.127
