institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.057	0.135	0.056	0.066	0.024	0.167	0.144	0.090	0.261	1.000
1	0.069	0.148	0.052	0.070	0.045	0.169	0.126	0.108	0.213	1.000
2	0.062	0.127	0.053	0.062	0.034	0.175	0.144	0.087	0.257	1.000
3	0.072	0.108	0.050	0.064	0.037	0.177	0.125	0.107	0.259	1.000
4	0.070	0.157	0.057	0.062	0.029	0.157	0.121	0.092	0.256	1.000
5	0.090	0.134	0.050	0.075	0.039	0.172	0.130	0.081	0.229	1.000
6	0.062	0.128	0.041	0.073	0.036	0.187	0.139	0.083	0.252	1.000
7	0.057	0.128	0.046	0.068	0.037	0.178	0.139	0.085	0.262	1.000
8	0.048	0.092	0.029	0.060	0.024	0.143	0.151	0.084	0.368	1.000
9	0.052	0.115	0.042	0.073	0.022	0.148	0.137	0.094	0.318	1.000
10	0.052	0.129	0.053	0.074	0.024	0.153	0.146	0.095	0.274	1.000
11	0.055	0.136	0.052	0.081	0.027	0.176	0.138	0.095	0.240	1.000
12	0.073	0.135	0.064	0.064	0.029	0.180	0.134	0.094	0.227	1.000
13	0.051	0.129	0.055	0.069	0.030	0.195	0.140	0.095	0.237	1.000
14	0.050	0.133	0.062	0.074	0.023	0.185	0.132	0.092	0.249	1.000
15	0.055	0.133	0.067	0.065	0.023	0.175	0.130	0.095	0.256	1.000
16	0.046	0.115	0.055	0.065	0.025	0.165	0.131	0.096	0.301	1.000
17	0.060	0.112	0.058	0.050	0.025	0.168	0.139	0.105	0.282	1.000
18	0.055	0.157	0.071	0.072	0.026	0.170	0.127	0.089	0.232	1.000
19	0.049	0.124	0.063	0.057	0.031	0.166	0.148	0.100	0.262	1.000
20	0.046	0.111	0.049	0.057	0.026	0.159	0.134	0.103	0.316	1.000
21	0.044	0.110	0.045	0.060	0.016	0.163	0.125	0.094	0.342	1.000
22	0.046	0.115	0.047	0.066	0.028	0.170	0.132	0.096	0.300	1.000
23	0.042	0.124	0.044	0.065	0.022	0.155	0.137	0.096	0.316	1.000
24	0.036	0.104	0.036	0.050	0.019	0.138	0.125	0.100	0.391	1.000
25	0.036	0.093	0.032	0.057	0.017	0.136	0.112	0.101	0.417	1.000
26	0.043	0.102	0.035	0.052	0.016	0.133	0.130	0.098	0.392	1.000
27	0.045	0.097	0.036	0.047	0.021	0.140	0.124	0.096	0.394	1.000
28	0.037	0.081	0.032	0.051	0.019	0.138	0.125	0.112	0.405	1.000
29	0.030	0.063	0.031	0.041	0.023	0.129	0.133	0.123	0.427	1.000
30	0.066	0.144	0.052	0.071	0.028	0.163	0.124	0.092	0.261	1.000
