institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.069	0.163	0.076	0.091	0.030	0.164	0.154	0.053	0.201	1.000
1	0.053	0.135	0.051	0.052	0.023	0.172	0.145	0.098	0.271	1.000
2	0.063	0.162	0.056	0.079	0.047	0.173	0.119	0.105	0.197	1.000
3	0.048	0.128	0.043	0.060	0.023	0.171	0.130	0.123	0.273	1.000
4	0.082	0.139	0.049	0.073	0.044	0.159	0.114	0.113	0.225	1.000
5	0.058	0.115	0.050	0.054	0.041	0.176	0.141	0.111	0.253	1.000
6	0.081	0.127	0.051	0.068	0.026	0.181	0.119	0.097	0.249	1.000
7	0.063	0.151	0.058	0.062	0.040	0.172	0.138	0.093	0.223	1.000
8	0.056	0.111	0.046	0.066	0.023	0.138	0.146	0.091	0.322	1.000
9	0.056	0.116	0.042	0.074	0.029	0.163	0.129	0.092	0.299	1.000
10	0.059	0.112	0.048	0.074	0.031	0.159	0.134	0.096	0.288	1.000
11	0.066	0.106	0.043	0.074	0.029	0.161	0.134	0.094	0.292	1.000
12	0.065	0.112	0.037	0.063	0.030	0.158	0.133	0.091	0.311	1.000
13	0.054	0.124	0.043	0.071	0.026	0.170	0.142	0.097	0.272	1.000
14	0.050	0.125	0.038	0.064	0.026	0.172	0.141	0.086	0.300	1.000
15	0.068	0.119	0.054	0.062	0.027	0.178	0.132	0.093	0.268	1.000
16	0.047	0.108	0.046	0.067	0.023	0.171	0.135	0.099	0.303	1.000
17	0.051	0.116	0.047	0.074	0.030	0.184	0.138	0.091	0.269	1.000
18	0.046	0.125	0.049	0.083	0.027	0.204	0.139	0.090	0.236	1.000
19	0.053	0.144	0.062	0.078	0.029	0.181	0.140	0.090	0.223	1.000
20	0.045	0.128	0.057	0.075	0.028	0.190	0.138	0.098	0.240	1.000
21	0.049	0.130	0.061	0.075	0.026	0.179	0.136	0.092	0.252	1.000
22	0.055	0.130	0.053	0.076	0.028	0.171	0.134	0.095	0.257	1.000
23	0.059	0.118	0.060	0.058	0.024	0.163	0.132	0.099	0.287	1.000
24	0.052	0.135	0.069	0.057	0.025	0.168	0.132	0.090	0.270	1.000
25	0.051	0.122	0.057	0.055	0.023	0.160	0.129	0.100	0.303	1.000
26	0.051	0.142	0.056	0.064	0.026	0.161	0.135	0.091	0.274	1.000
27	0.054	0.133	0.055	0.058	0.020	0.169	0.133	0.087	0.291	1.000
28	0.049	0.131	0.049	0.063	0.026	0.173	0.131	0.095	0.283	1.000
29	0.038	0.088	0.033	0.052	0.015	0.130	0.111	0.102	0.432	1.000
30	0.037	0.079	0.035	0.049	0.018	0.128	0.120	0.101	0.434	1.000
31	0.037	0.092	0.038	0.049	0.019	0.136	0.131	0.100	0.398	1.000
32	0.037	0.095	0.036	0.044	0.020	0.133	0.135	0.099	0.401	1.000
33	0.038	0.092	0.027	0.036	0.019	0.125	0.131	0.104	0.427	1.000
34	0.032	0.073	0.029	0.042	0.017	0.124	0.131	0.109	0.444	1.000
35	0.043	0.093	0.036	0.045	0.022	0.141	0.125	0.112	0.384	1.000
36	0.044	0.086	0.037	0.054	0.023	0.139	0.133	0.116	0.368	1.000
37	0.037	0.078	0.030	0.048	0.024	0.152	0.142	0.121	0.366	1.000
38	0.042	0.084	0.036	0.059	0.024	0.161	0.142	0.125	0.327	1.000
39	0.031	0.061	0.027	0.046	0.020	0.135	0.142	0.120	0.418	1.000
40	0.038	0.087	0.036	0.057	0.023	0.155	0.144	0.114	0.347	1.000
41	0.056	0.145	0.061	0.077	0.031	0.181	0.138	0.094	0.217	1.000
42	0.079	0.175	0.063	0.085	0.032	0.185	0.121	0.080	0.179	1.000
43	0.092	0.193	0.061	0.078	0.031	0.163	0.101	0.075	0.206	1.000
44	0.077	0.159	0.052	0.069	0.027	0.131	0.098	0.072	0.314	1.000
45	0.115	0.119	0.036	0.058	0.015	0.083	0.114	0.090	0.370	1.000
