institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.054	0.119	0.046	0.064	0.026	0.157	0.130	0.101	0.304	1.000
1	0.082	0.184	0.058	0.078	0.031	0.168	0.110	0.077	0.213	1.000
2	0.083	0.175	0.063	0.074	0.027	0.157	0.105	0.076	0.240	1.000
3	0.092	0.160	0.044	0.064	0.028	0.131	0.097	0.078	0.305	1.000
4	0.107	0.123	0.033	0.048	0.016	0.079	0.098	0.076	0.421	1.000
5	0.099	0.116	0.030	0.057	0.013	0.062	0.100	0.093	0.430	1.000
6	0.110	0.073	0.017	0.064	0.013	0.058	0.071	0.134	0.460	1.000
