institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.056	0.123	0.046	0.064	0.026	0.157	0.128	0.098	0.302	1.000
1	0.084	0.186	0.065	0.088	0.032	0.167	0.115	0.078	0.185	1.000
2	0.091	0.206	0.057	0.077	0.027	0.163	0.100	0.077	0.203	1.000
3	0.127	0.249	0.085	0.086	0.045	0.146	0.079	0.051	0.131	1.000
4	0.102	0.222	0.076	0.076	0.039	0.195	0.094	0.053	0.143	1.000
