institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.019	0.151	0.014	0.193
1	0.018	0.140	0.014	0.178
2	0.020	0.179	0.014	0.220
3	0.026	0.210	0.013	0.262
4	0.046	0.276	0.018	0.367
5	0.041	0.235	0.026	0.328
6	0.040	0.279	0.020	0.366
7	0.058	0.323	0.032	0.446
8	0.045	0.295	0.024	0.397
9	0.052	0.275	0.040	0.403
10	0.046	0.184	0.033	0.295
11	0.054	0.234	0.038	0.376
12	0.060	0.179	0.063	0.404
13	0.057	0.191	0.059	0.401
14	0.048	0.215	0.044	0.384
15	0.042	0.123	0.068	0.288
16	0.038	0.080	0.039	0.183
17	0.058	0.217	0.039	0.355
