institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.074	0.156	0.066	0.068	0.028	0.171	0.134	0.088	0.216	1.000
1	0.051	0.138	0.057	0.066	0.036	0.162	0.130	0.106	0.254	1.000
2	0.062	0.143	0.059	0.078	0.041	0.184	0.127	0.101	0.206	1.000
3	0.050	0.103	0.037	0.069	0.028	0.159	0.147	0.094	0.312	1.000
4	0.047	0.112	0.040	0.067	0.027	0.164	0.144	0.097	0.303	1.000
5	0.064	0.103	0.046	0.066	0.022	0.174	0.124	0.104	0.295	1.000
6	0.052	0.119	0.053	0.070	0.023	0.190	0.132	0.100	0.263	1.000
7	0.063	0.124	0.049	0.069	0.028	0.182	0.132	0.092	0.260	1.000
8	0.065	0.123	0.052	0.068	0.030	0.170	0.128	0.088	0.276	1.000
9	0.044	0.115	0.057	0.063	0.024	0.157	0.128	0.098	0.313	1.000
10	0.046	0.109	0.047	0.060	0.022	0.161	0.127	0.103	0.325	1.000
11	0.046	0.143	0.051	0.057	0.021	0.155	0.133	0.093	0.300	1.000
12	0.052	0.129	0.050	0.056	0.021	0.138	0.124	0.092	0.337	1.000
13	0.046	0.116	0.049	0.055	0.019	0.148	0.124	0.098	0.345	1.000
14	0.044	0.109	0.041	0.060	0.023	0.151	0.130	0.098	0.345	1.000
15	0.037	0.095	0.037	0.052	0.019	0.136	0.129	0.099	0.396	1.000
16	0.035	0.082	0.035	0.050	0.018	0.133	0.125	0.100	0.421	1.000
17	0.042	0.100	0.039	0.051	0.017	0.134	0.129	0.097	0.391	1.000
18	0.035	0.088	0.035	0.041	0.021	0.131	0.132	0.097	0.420	1.000
19	0.031	0.079	0.028	0.048	0.016	0.124	0.131	0.105	0.438	1.000
20	0.038	0.104	0.034	0.051	0.020	0.136	0.133	0.109	0.374	1.000
21	0.036	0.088	0.034	0.045	0.017	0.122	0.126	0.113	0.419	1.000
22	0.039	0.084	0.029	0.051	0.021	0.134	0.125	0.101	0.416	1.000
23	0.034	0.074	0.028	0.046	0.020	0.127	0.119	0.110	0.442	1.000
24	0.038	0.074	0.032	0.048	0.021	0.137	0.120	0.115	0.415	1.000
25	0.034	0.070	0.031	0.044	0.020	0.126	0.132	0.121	0.423	1.000
26	0.035	0.071	0.034	0.046	0.023	0.144	0.137	0.128	0.382	1.000
27	0.039	0.076	0.034	0.047	0.023	0.135	0.138	0.124	0.383	1.000
28	0.039	0.080	0.031	0.054	0.023	0.151	0.143	0.120	0.360	1.000
29	0.038	0.078	0.034	0.049	0.026	0.155	0.139	0.130	0.351	1.000
30	0.041	0.078	0.035	0.056	0.029	0.155	0.139	0.115	0.352	1.000
31	0.038	0.076	0.030	0.054	0.022	0.155	0.146	0.121	0.359	1.000
32	0.040	0.087	0.032	0.055	0.023	0.157	0.143	0.115	0.347	1.000
33	0.030	0.073	0.031	0.048	0.021	0.138	0.144	0.111	0.405	1.000
34	0.040	0.114	0.040	0.068	0.027	0.165	0.139	0.106	0.301	1.000
35	0.051	0.117	0.050	0.068	0.025	0.171	0.140	0.104	0.273	1.000
36	0.055	0.122	0.052	0.065	0.027	0.170	0.141	0.100	0.268	1.000
37	0.062	0.151	0.058	0.082	0.025	0.185	0.137	0.098	0.203	1.000
38	0.071	0.167	0.059	0.073	0.028	0.180	0.125	0.091	0.206	1.000
39	0.087	0.202	0.072	0.080	0.033	0.174	0.106	0.073	0.174	1.000
40	0.089	0.211	0.068	0.088	0.035	0.180	0.110	0.073	0.146	1.000
41	0.095	0.190	0.073	0.093	0.036	0.181	0.112	0.071	0.149	1.000
42	0.091	0.195	0.064	0.084	0.038	0.172	0.106	0.069	0.181	1.000
43	0.082	0.172	0.055	0.078	0.028	0.133	0.094	0.069	0.290	1.000
44	0.091	0.138	0.040	0.055	0.023	0.120	0.097	0.078	0.358	1.000
45	0.066	0.121	0.038	0.053	0.018	0.105	0.103	0.084	0.412	1.000
46	0.076	0.143	0.043	0.056	0.021	0.128	0.088	0.074	0.370	1.000
47	0.101	0.175	0.045	0.060	0.016	0.104	0.091	0.080	0.327	1.000
