institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.179	0.045	0.319
1	0.047	0.176	0.051	0.332
2	0.056	0.237	0.067	0.445
3	0.076	0.438	0.051	0.717
