institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.045	0.191	0.045	0.332
1	0.046	0.112	0.052	0.266
2	0.046	0.126	0.040	0.265
3	0.044	0.196	0.040	0.339
4	0.053	0.176	0.079	0.376
5	0.060	0.035	0.022	0.164
