institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.049	0.108	0.048	0.061	0.024	0.160	0.133	0.098	0.320	1.000
1	0.046	0.115	0.042	0.065	0.021	0.154	0.126	0.103	0.329	1.000
2	0.045	0.099	0.038	0.058	0.028	0.148	0.132	0.106	0.347	1.000
3	0.060	0.111	0.045	0.059	0.028	0.151	0.124	0.104	0.318	1.000
4	0.034	0.080	0.037	0.048	0.025	0.137	0.131	0.116	0.393	1.000
5	0.043	0.093	0.045	0.051	0.027	0.154	0.144	0.120	0.323	1.000
6	0.045	0.109	0.047	0.058	0.025	0.154	0.139	0.105	0.317	1.000
7	0.030	0.069	0.029	0.037	0.020	0.128	0.144	0.115	0.429	1.000
8	0.030	0.072	0.027	0.046	0.022	0.144	0.144	0.119	0.397	1.000
9	0.047	0.090	0.034	0.059	0.024	0.160	0.142	0.115	0.331	1.000
10	0.047	0.083	0.031	0.050	0.023	0.158	0.144	0.114	0.350	1.000
11	0.042	0.094	0.033	0.054	0.023	0.152	0.129	0.112	0.362	1.000
12	0.040	0.086	0.036	0.056	0.021	0.171	0.132	0.112	0.346	1.000
13	0.041	0.084	0.033	0.053	0.025	0.155	0.132	0.118	0.358	1.000
14	0.037	0.081	0.028	0.061	0.022	0.150	0.141	0.125	0.355	1.000
15	0.045	0.085	0.036	0.061	0.022	0.165	0.149	0.114	0.323	1.000
16	0.049	0.101	0.043	0.064	0.023	0.173	0.131	0.103	0.313	1.000
17	0.046	0.105	0.044	0.069	0.026	0.166	0.143	0.102	0.298	1.000
18	0.047	0.137	0.049	0.080	0.025	0.178	0.142	0.095	0.248	1.000
19	0.047	0.131	0.056	0.076	0.027	0.171	0.141	0.097	0.253	1.000
20	0.055	0.138	0.057	0.075	0.029	0.171	0.138	0.101	0.237	1.000
21	0.062	0.144	0.058	0.084	0.032	0.183	0.145	0.092	0.198	1.000
22	0.066	0.170	0.071	0.080	0.033	0.192	0.137	0.086	0.165	1.000
23	0.072	0.168	0.074	0.092	0.032	0.182	0.122	0.083	0.175	1.000
24	0.064	0.156	0.063	0.077	0.029	0.184	0.124	0.091	0.210	1.000
25	0.088	0.169	0.068	0.082	0.033	0.171	0.110	0.078	0.200	1.000
26	0.095	0.202	0.072	0.089	0.033	0.183	0.114	0.075	0.139	1.000
27	0.097	0.203	0.068	0.091	0.036	0.187	0.111	0.073	0.134	1.000
28	0.088	0.200	0.063	0.085	0.033	0.179	0.125	0.078	0.150	1.000
29	0.091	0.197	0.066	0.079	0.036	0.186	0.119	0.079	0.147	1.000
30	0.086	0.191	0.067	0.082	0.033	0.186	0.113	0.084	0.159	1.000
31	0.104	0.202	0.060	0.080	0.033	0.164	0.097	0.069	0.191	1.000
32	0.096	0.212	0.066	0.079	0.033	0.154	0.091	0.071	0.199	1.000
33	0.089	0.175	0.056	0.078	0.026	0.139	0.093	0.064	0.279	1.000
34	0.071	0.169	0.053	0.070	0.030	0.125	0.089	0.062	0.331	1.000
35	0.071	0.139	0.048	0.060	0.022	0.123	0.095	0.083	0.358	1.000
36	0.059	0.120	0.032	0.057	0.023	0.104	0.088	0.079	0.437	1.000
37	0.089	0.150	0.047	0.063	0.021	0.121	0.095	0.072	0.342	1.000
38	0.091	0.188	0.055	0.065	0.020	0.145	0.099	0.076	0.261	1.000
39	0.084	0.158	0.043	0.061	0.017	0.121	0.097	0.078	0.340	1.000
40	0.096	0.189	0.051	0.066	0.022	0.120	0.087	0.079	0.292	1.000
41	0.057	0.114	0.032	0.045	0.018	0.135	0.094	0.080	0.426	1.000
