institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.062	0.151	0.056	0.078	0.025	0.172	0.126	0.094	0.235	1.000
1	0.046	0.105	0.042	0.059	0.023	0.145	0.132	0.102	0.346	1.000
2	0.040	0.091	0.041	0.056	0.026	0.150	0.126	0.106	0.365	1.000
3	0.033	0.061	0.030	0.050	0.023	0.142	0.139	0.122	0.401	1.000
4	0.043	0.103	0.037	0.063	0.023	0.162	0.141	0.112	0.317	1.000
5	0.063	0.131	0.059	0.068	0.028	0.166	0.129	0.094	0.263	1.000
6	0.081	0.172	0.058	0.074	0.029	0.152	0.102	0.075	0.258	1.000
7	0.062	0.149	0.055	0.071	0.030	0.177	0.137	0.094	0.225	1.000
8	0.067	0.126	0.042	0.063	0.025	0.152	0.135	0.104	0.287	1.000
