institution_count	attainm_bach_to_higher_latinx	attainm_bach_to_higher_white	attainm_bach_to_higher_black	attainm_bach_to_higher_all
0	0.018	0.156	0.016	0.198
1	0.027	0.175	0.022	0.242
2	0.045	0.252	0.032	0.371
3	0.048	0.229	0.048	0.376
4	0.056	0.173	0.062	0.360
5	0.047	0.222	0.049	0.371
6	0.051	0.221	0.041	0.363
7	0.057	0.178	0.050	0.340
8	0.058	0.202	0.045	0.377
9	0.041	0.103	0.065	0.271
10	0.043	0.084	0.060	0.251
11	0.042	0.082	0.059	0.244
12	0.036	0.085	0.057	0.222
13	0.042	0.134	0.062	0.286
14	0.056	0.241	0.040	0.408
15	0.057	0.236	0.049	0.411
16	0.052	0.254	0.029	0.394
17	0.037	0.093	0.021	0.183
18	0.029	0.071	0.056	0.178
19	0.024	0.004	0.051	0.072
