institution_count	povertylevel_50percent	povertylevel_125percent	povertylevel_150percent	povertylevel_185percent	povertylevel_200percent	povertylevel_300percent	povertylevel_400percent	povertylevel_500percent	povertylevel_over500percent	pct_totpop
0	0.053	0.121	0.047	0.065	0.026	0.162	0.134	0.102	0.291	1.000
1	0.074	0.163	0.057	0.076	0.030	0.162	0.113	0.084	0.241	1.000
2	0.081	0.141	0.041	0.054	0.023	0.115	0.088	0.076	0.381	1.000
3	0.071	0.147	0.054	0.056	0.025	0.124	0.096	0.071	0.355	1.000
4	0.028	0.045	0.021	0.032	0.011	0.114	0.107	0.099	0.544	1.000
